"FileName","RelativePath","FullName","Extension","LengthBytes","LengthMB","LastWriteTime","SHA256"
"audit_internal_rng_v96m_v96z_rngfix.m","02_src_limpio\production\audit_internal_rng_v96m_v96z_rngfix.m","D:\CODE\deshidratador\02_src_limpio\production\audit_internal_rng_v96m_v96z_rngfix.m",".m","8175","0.008","30/06/2026 11:37:04 a. m.","48BED7B82B06A3113221B7E73A9A671B844D1505354E09C3090E872456A070FB"
"build_final_cost_co2_factor_traceability_matrix_v96z.m","02_src_limpio\production\build_final_cost_co2_factor_traceability_matrix_v96z.m","D:\CODE\deshidratador\02_src_limpio\production\build_final_cost_co2_factor_traceability_matrix_v96z.m",".m","17100","0.016","02/07/2026 02:57:28 p. m.","1DD860F5C11394C1ABEDDC0862BC4DA528D2994A43E3649CE091331D20D8F169"
"run_seedaware_formal_R1_only_v96z_rngfix.m","02_src_limpio\production\run_seedaware_formal_R1_only_v96z_rngfix.m","D:\CODE\deshidratador\02_src_limpio\production\run_seedaware_formal_R1_only_v96z_rngfix.m",".m","12213","0.012","30/06/2026 05:09:36 p. m.","9B8550BA654B05762F46611E5EDE7A4F66B5C130CC3D97A49A90B19BC057F75A"
"run_seedaware_smoke_seed_difference_v96z_rngfix.m","02_src_limpio\production\run_seedaware_smoke_seed_difference_v96z_rngfix.m","D:\CODE\deshidratador\02_src_limpio\production\run_seedaware_smoke_seed_difference_v96z_rngfix.m",".m","15908","0.015","30/06/2026 12:37:14 p. m.","629FCE5CE3E3B90564B647A1146958C11FA13656504A04C7B53D0B5A9CB5D72D"
"run_seedaware_smoke_seed_difference_v96z_rngfix_BACKUP_BEFORE_SHORTNAME_20260630_123714.m","02_src_limpio\production\run_seedaware_smoke_seed_difference_v96z_rngfix_BACKUP_BEFORE_SHORTNAME_20260630_123714.m","D:\CODE\deshidratador\02_src_limpio\production\run_seedaware_smoke_seed_difference_v96z_rngfix_BACKUP_BEFORE_SHORTNAME_20260630_123714.m",".m","16058","0.015","30/06/2026 12:27:58 p. m.","0713FFDBBE630D53977A58B714D474262438FD9B1FDA33884ED0A5E9FBF0B559"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.md","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\logs\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.md","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\logs\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.md",".md","4745","0.005","27/06/2026 12:41:08 p. m.","D1A963DF236489169FE5C67EAE7F718DEC7E140B61691F4D621F64D48E6E7043"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.txt","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\logs\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.txt","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\logs\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.txt",".txt","1302","0.001","27/06/2026 12:41:08 p. m.","F0B4282208AB8C6AAEB4C85F7927C15033C94BB4B5B559757C8F79D435AD24D8"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.mat","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\mat\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.mat","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\mat\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l.mat",".mat","12701","0.012","27/06/2026 12:41:08 p. m.","045F7B2D8C7411966EEB2AB4AA2C964DA6A6D27264AB21749FF2F1FE21A3B5EB"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_acceptance.csv","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_acceptance.csv","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_acceptance.csv",".csv","492","0","27/06/2026 12:41:08 p. m.","3D5ECCA288CA1BB5884F87D5AA15A656CF9599A36128D34C8545F75571100E96"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_checks.csv","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_checks.csv","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_checks.csv",".csv","844","0.001","27/06/2026 12:41:08 p. m.","725E493A72005DE9D90F8096F743E31AC9005289A347ABFE523F5257634701D2"
