seed,row,source,x,f,inclusion,reason
61001,1,returned,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.064117832005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,2,returned,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.062164707005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,3,returned,"[0.07004189509017565, 57.15458149002458, 0.46144752854289756, 9.838112616466683]","[0.2228099782644512, 0.18697225107779206, 0.4159223379011286]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,4,returned,"[0.11649396165284404, 64.84204333571675, 0.5698378067030425, 9.877694152500426]","[0.018308933308249363, 0.3037923527391264, 0.746684503147779]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,5,returned,"[0.1610779425772786, 66.39850363122416, 0.6315233878995964, 10.038356901188816]","[0.005269267342027493, 0.42745980996985705, 1.078951548370412]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,6,returned,"[0.13717466757672642, 66.31133456402915, 0.6228426682359076, 9.966878002407508]","[0.007996231021833933, 0.36277220618842104, 0.9054294701137775]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,7,returned,"[0.17144009691927148, 66.46343767357219, 0.6589905152892271, 10.045148483905535]","[0.0044984390083460555, 0.45146856348290587, 1.1433377792681167]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,8,returned,"[0.09104290480287056, 65.96030752159879, 0.5692593271289389, 10.060917734575252]","[0.026112143625820882, 0.24662443345799337, 0.5929554291193696]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,9,returned,"[0.1296825926372298, 65.10416070185771, 0.6457609832951636, 9.919624237406845]","[0.013236482509686306, 0.33206821893497823, 0.8227998763593255]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,10,population,"[0.07004189509017565, 57.15443653152849, 0.4672854612834313, 9.838106728092447]","[0.22312740118117738, 0.18702972592293268, 0.4160415804193457]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,11,population,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.064117832005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,12,population,"[0.19409867867318725, 66.47342863291831, 0.6592037952957258, 10.064117685321142]","[0.00353850794872784, 0.5119106435892561, 1.3052130621071647]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,13,population,"[0.07004189509017565, 57.15443653152849, 0.4672854612834313, 9.838106728092447]","[0.22312740118117738, 0.18702972592293268, 0.4160415804193457]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,14,population,"[0.19409867867318725, 66.47349872437819, 0.6592608799001825, 10.064116946283846]","[0.003538464576017152, 0.5118979754738039, 1.3051791190485718]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,15,population,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.062164707005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,16,population,"[0.07004189509017565, 57.15458149002458, 0.46144752854289756, 9.838112616466683]","[0.2228099782644512, 0.18697225107779206, 0.4159223379011286]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,17,population,"[0.19409867867318725, 66.47349872437819, 0.6592608799001825, 10.064116946283846]","[0.003538464576017152, 0.5118979754738039, 1.3051791190485718]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,18,population,"[0.07293610241631977, 61.62767439742194, 0.4777413851058786, 9.889717230346653]","[0.11435103391045534, 0.19523344965975428, 0.4484803726470351]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,19,population,"[0.19409867867318725, 66.47353553482604, 0.6593055276819689, 10.063018566067385]","[0.003538450794818189, 0.5118878474719604, 1.3051519805975569]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,20,population,"[0.11649396165284404, 64.84204333571675, 0.5698378067030425, 9.877694152500426]","[0.018308933308249363, 0.3037923527391264, 0.746684503147779]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,21,population,"[0.07004189509017565, 57.15458149002458, 0.464684012334284, 9.838112616466683]","[0.2229830914691193, 0.18700381637372387, 0.4159879628479035]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,22,population,"[0.1610779425772786, 66.39850363122416, 0.6315233878995964, 10.038356901188816]","[0.005269267342027493, 0.42745980996985705, 1.078951548370412]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,23,population,"[0.07004189509017565, 57.15443653152849, 0.4653323362834313, 9.838106728092447]","[0.22302182786624022, 0.18701024792336754, 0.41600095367155276]",INCLUDED_BEFORE_EXACT_DEDUP,
