seed,row,source,x,f,penalized,origins
61001,1,returned,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.064117832005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",False,"[[61001, 1], [61001, 11]]"
61001,2,returned,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.062164707005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",False,"[[61001, 2], [61001, 15]]"
61001,3,returned,"[0.07004189509017565, 57.15458149002458, 0.46144752854289756, 9.838112616466683]","[0.2228099782644512, 0.18697225107779206, 0.4159223379011286]",False,"[[61001, 3], [61001, 16]]"
61001,4,returned,"[0.11649396165284404, 64.84204333571675, 0.5698378067030425, 9.877694152500426]","[0.018308933308249363, 0.3037923527391264, 0.746684503147779]",False,"[[61001, 4], [61001, 20]]"
61001,5,returned,"[0.1610779425772786, 66.39850363122416, 0.6315233878995964, 10.038356901188816]","[0.005269267342027493, 0.42745980996985705, 1.078951548370412]",False,"[[61001, 5], [61001, 22]]"
61001,7,returned,"[0.17144009691927148, 66.46343767357219, 0.6589905152892271, 10.045148483905535]","[0.0044984390083460555, 0.45146856348290587, 1.1433377792681167]",False,"[[61001, 7], [61001, 29]]"
61001,8,returned,"[0.09104290480287056, 65.96030752159879, 0.5692593271289389, 10.060917734575252]","[0.026112143625820882, 0.24662443345799337, 0.5929554291193696]",False,"[[61001, 8], [61001, 31]]"
61001,18,population,"[0.07293610241631977, 61.62767439742194, 0.4777413851058786, 9.889717230346653]","[0.11435103391045534, 0.19523344965975428, 0.4484803726470351]",False,"[[61001, 18]]"
61003,1,returned,"[0.07198136142766258, 56.79466155343445, 0.6674584238991281, 12.649098848121929]","[0.22736739129222333, 0.18288767994676008, 0.40447522894768895]",False,"[[61003, 1], [61003, 10]]"
61003,2,returned,"[0.07197754810898062, 54.70309320726457, 0.7160829447404511, 12.871995103658183]","[0.2855208662368561, 0.18396866391143404, 0.4004048587704998]",False,"[[61003, 2], [61003, 14]]"
61003,3,returned,"[0.11225699971087771, 66.80582854089694, 0.6777933701381792, 12.736068967572452]","[0.011414662921359944, 0.3119079619274894, 0.7689012134357766]",False,"[[61003, 3], [61003, 16]]"
61003,4,returned,"[0.19255667383656297, 66.82919510589754, 0.7741112230151715, 12.826784156175757]","[0.003536901054986336, 0.5320823865411496, 1.3588114281512527]",False,"[[61003, 4], [61003, 21]]"
61003,5,returned,"[0.16673936500496983, 66.8103251180672, 0.7052223721967823, 12.744265279965528]","[0.004221281697175431, 0.4711374994519213, 1.1960618835610777]",False,"[[61003, 5], [61003, 23]]"
61003,6,returned,"[0.15093046785300523, 66.80730426966575, 0.6864868884399452, 12.743406454284129]","[0.005325019260407343, 0.4262291189944005, 1.0756500164396436]",False,"[[61003, 6], [61003, 25]]"
61003,7,returned,"[0.07462339749861595, 60.60931734093549, 0.7584256122010291, 12.655086465491147]","[0.1402663952994768, 0.18960208877285714, 0.4311394205127147]",False,"[[61003, 7], [61003, 29]]"
61003,8,returned,"[0.12772009858682865, 66.80595597038837, 0.6975333077253107, 12.74125379996531]","[0.00812071868444575, 0.3555180654417655, 0.885982636995701]",False,"[[61003, 8], [61003, 30]]"
61003,9,returned,"[0.09148182540042017, 64.4668961606526, 0.7436033845826252, 12.831804316531295]","[0.038637006057707146, 0.23805197546971513, 0.5690996223335708]",False,"[[61003, 9], [61003, 31]]"
61004,2,returned,"[0.19260077496493302, 68.71352494701512, 0.12894916010191393, 8.967166473569447]","[0.0035234386070778913, 0.6013407286569235, 1.54182299594184]",False,"[[61004, 2], [61004, 3], [61004, 11], [61004, 17]]"
61004,4,returned,"[0.15357379731270843, 67.42580602227254, 0.25647854186807073, 3.587315497272116]","[0.004232297675387843, 0.4591219000466974, 1.1638637010559372]",False,"[[61004, 4], [61004, 19]]"
61004,5,returned,"[0.11022758550017163, 68.23790368232507, 0.13222560122177832, 7.5728880158038265]","[0.007519209660758635, 0.3615658446362689, 0.9022289019733419]",False,"[[61004, 5], [61004, 20]]"
61004,7,returned,"[0.07406347508351872, 65.04992795206918, 0.27135211165786005, 1.4417775901514198]","[0.0560264951368733, 0.20909414165248325, 0.490235850085683]",False,"[[61004, 7], [61004, 27]]"
61005,8,returned,"[0.1078851725647477, 64.47021945628425, 0.23120122962336456, 2.1288938688286856]","[0.024067142054647165, 0.2975729541101698, 0.7296212808274294]",False,"[[61005, 8], [61005, 29]]"
