seed,row,source,x,f,penalized,origins
61001,1,returned,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.064117832005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",False,"[[61001, 1], [61001, 11]]"
61001,2,returned,"[0.19409867867318725, 66.47358197296981, 0.6593744027366959, 10.062164707005463]","[0.0035384411163228123, 0.5118720973717192, 1.3051097766883577]",False,"[[61001, 2], [61001, 15]]"
61001,3,returned,"[0.07004189509017565, 57.15458149002458, 0.46144752854289756, 9.838112616466683]","[0.2228099782644512, 0.18697225107779206, 0.4159223379011286]",False,"[[61001, 3], [61001, 16]]"
61001,4,returned,"[0.11649396165284404, 64.84204333571675, 0.5698378067030425, 9.877694152500426]","[0.018308933308249363, 0.3037923527391264, 0.746684503147779]",False,"[[61001, 4], [61001, 20]]"
61001,5,returned,"[0.1610779425772786, 66.39850363122416, 0.6315233878995964, 10.038356901188816]","[0.005269267342027493, 0.42745980996985705, 1.078951548370412]",False,"[[61001, 5], [61001, 22]]"
61001,6,returned,"[0.13717466757672642, 66.31133456402915, 0.6228426682359076, 9.966878002407508]","[0.007996231021833933, 0.36277220618842104, 0.9054294701137775]",False,"[[61001, 6], [61001, 27]]"
61001,7,returned,"[0.17144009691927148, 66.46343767357219, 0.6589905152892271, 10.045148483905535]","[0.0044984390083460555, 0.45146856348290587, 1.1433377792681167]",False,"[[61001, 7], [61001, 29]]"
61001,8,returned,"[0.09104290480287056, 65.96030752159879, 0.5692593271289389, 10.060917734575252]","[0.026112143625820882, 0.24662443345799337, 0.5929554291193696]",False,"[[61001, 8], [61001, 31]]"
61001,9,returned,"[0.1296825926372298, 65.10416070185771, 0.6457609832951636, 9.919624237406845]","[0.013236482509686306, 0.33206821893497823, 0.8227998763593255]",False,"[[61001, 9], [61001, 32]]"
61001,18,population,"[0.07293610241631977, 61.62767439742194, 0.4777413851058786, 9.889717230346653]","[0.11435103391045534, 0.19523344965975428, 0.4484803726470351]",False,"[[61001, 18]]"
61001,30,population,"[0.0904022765872648, 60.555694288592264, 0.49269068500396496, 9.899933770977388]","[0.09103147223820328, 0.2280878922944241, 0.538434131928522]",False,"[[61001, 30]]"
61002,1,returned,"[0.07030589291313223, 55.608523014936495, 0.15822045943515306, 2.8136692515346233]","[0.2515449894943244, 0.18930240830031614, 0.41889929155461103]",False,"[[61002, 1], [61002, 13]]"
61002,2,returned,"[0.19613779875277193, 66.44332955989745, 0.324562861907893, 2.0371868256744827]","[0.003538436999063138, 0.5403589491804578, 1.3814442062386951]",False,"[[61002, 2], [61002, 16]]"
61002,3,returned,"[0.1065446841324467, 63.26149048430891, 0.1506451934737153, 3.0407872594976486]","[0.0330204491820506, 0.29968341238196927, 0.7346490922863016]",False,"[[61002, 3], [61002, 18]]"
61002,4,returned,"[0.07030759866919663, 52.250905074848156, 0.14037284311134152, 3.0713699739276294]","[0.3381941510297868, 0.1913707683080165, 0.4128725887784405]",False,"[[61002, 4], [61002, 20]]"
61002,5,returned,"[0.1834020448805001, 65.99242193279778, 0.24746445696676866, 2.1260933917182263]","[0.004457266978354036, 0.5304302019550556, 1.3549290746092852]",False,"[[61002, 5], [61002, 22]]"
61002,6,returned,"[0.16543651836188517, 66.00067533897625, 0.3261931155722214, 2.0980088201271645]","[0.005674361028467562, 0.45049407365993877, 1.1406479327785553]",False,"[[61002, 6], [61002, 23]]"
61002,7,returned,"[0.13085071259004077, 63.437269219646616, 0.20133932396448606, 2.6919826094602834]","[0.019686704257985535, 0.36127189016063127, 0.9006141300330816]",False,"[[61002, 7], [61002, 25]]"
61002,8,returned,"[0.07385711342942602, 58.50590547565709, 0.16568199109336196, 2.6722050890586284]","[0.17152881822142446, 0.19637251783468154, 0.4463789286461369]",False,"[[61002, 8], [61002, 29]]"
61002,9,returned,"[0.08870210055473665, 64.4863681105515, 0.20652302045065546, 2.6336210412288503]","[0.03900015931954097, 0.24743036939680874, 0.5942043196756909]",False,"[[61002, 9], [61002, 31]]"
61002,19,population,"[0.0813747932297093, 62.50679408212814, 0.19128638140078125, 2.6498184466450434]","[0.07463302631174286, 0.22040023632522826, 0.5191233606002286]",False,"[[61002, 19]]"
61002,32,population,"[0.14999012364032221, 64.32733200492962, 0.27257633940602144, 2.3353998331542716]","[0.011441808236809728, 0.40623550507135664, 1.0216629748434936]",False,"[[61002, 32]]"
61003,1,returned,"[0.07198136142766258, 56.79466155343445, 0.6674584238991281, 12.649098848121929]","[0.22736739129222333, 0.18288767994676008, 0.40447522894768895]",False,"[[61003, 1], [61003, 10]]"
61003,2,returned,"[0.07197754810898062, 54.70309320726457, 0.7160829447404511, 12.871995103658183]","[0.2855208662368561, 0.18396866391143404, 0.4004048587704998]",False,"[[61003, 2], [61003, 14]]"
61003,3,returned,"[0.11225699971087771, 66.80582854089694, 0.6777933701381792, 12.736068967572452]","[0.011414662921359944, 0.3119079619274894, 0.7689012134357766]",False,"[[61003, 3], [61003, 16]]"
61003,4,returned,"[0.19255667383656297, 66.82919510589754, 0.7741112230151715, 12.826784156175757]","[0.003536901054986336, 0.5320823865411496, 1.3588114281512527]",False,"[[61003, 4], [61003, 21]]"
61003,5,returned,"[0.16673936500496983, 66.8103251180672, 0.7052223721967823, 12.744265279965528]","[0.004221281697175431, 0.4711374994519213, 1.1960618835610777]",False,"[[61003, 5], [61003, 23]]"
61003,6,returned,"[0.15093046785300523, 66.80730426966575, 0.6864868884399452, 12.743406454284129]","[0.005325019260407343, 0.4262291189944005, 1.0756500164396436]",False,"[[61003, 6], [61003, 25]]"
61003,7,returned,"[0.07462339749861595, 60.60931734093549, 0.7584256122010291, 12.655086465491147]","[0.1402663952994768, 0.18960208877285714, 0.4311394205127147]",False,"[[61003, 7], [61003, 29]]"
61003,8,returned,"[0.12772009858682865, 66.80595597038837, 0.6975333077253107, 12.74125379996531]","[0.00812071868444575, 0.3555180654417655, 0.885982636995701]",False,"[[61003, 8], [61003, 30]]"
61003,9,returned,"[0.09148182540042017, 64.4668961606526, 0.7436033845826252, 12.831804316531295]","[0.038637006057707146, 0.23805197546971513, 0.5690996223335708]",False,"[[61003, 9], [61003, 31]]"
61004,1,returned,"[0.07012355630464477, 55.92699416297173, 0.2700580761966968, 0.7670526690146426]","[0.27391010633441504, 0.18914579380430022, 0.4157578683183273]",False,"[[61004, 1], [61004, 6], [61004, 10], [61004, 22]]"
61004,2,returned,"[0.19260077496493302, 68.71352494701512, 0.12894916010191393, 8.967166473569447]","[0.0035234386070778913, 0.6013407286569235, 1.54182299594184]",False,"[[61004, 2], [61004, 3], [61004, 11], [61004, 17]]"
61004,4,returned,"[0.15357379731270843, 67.42580602227254, 0.25647854186807073, 3.587315497272116]","[0.004232297675387843, 0.4591219000466974, 1.1638637010559372]",False,"[[61004, 4], [61004, 19]]"
61004,5,returned,"[0.11022758550017163, 68.23790368232507, 0.13222560122177832, 7.5728880158038265]","[0.007519209660758635, 0.3615658446362689, 0.9022289019733419]",False,"[[61004, 5], [61004, 20]]"
61004,7,returned,"[0.07406347508351872, 65.04992795206918, 0.27135211165786005, 1.4417775901514198]","[0.0560264951368733, 0.20909414165248325, 0.490235850085683]",False,"[[61004, 7], [61004, 27]]"
61004,8,returned,"[0.07186056250807835, 57.06467819164099, 0.24121224954531822, 5.9464906775215605]","[0.22400768657355674, 0.19458836161781431, 0.43619941048249483]",False,"[[61004, 8], [61004, 28]]"
61004,9,returned,"[0.07043458716741795, 57.240968952218815, 0.25076432447874386, 0.8016601666972455]","[0.23333595619377392, 0.1887012117157185, 0.4193869998659456]",False,"[[61004, 9], [61004, 30]]"
61004,15,population,"[0.19185460683342914, 67.58203290484235, 0.14060211814983364, 7.25420997505544]","[0.003617662824208767, 0.6010981980082559, 1.5425307202593586]",False,"[[61004, 15]]"
61004,24,population,"[0.09346651055211934, 63.700630267450464, 0.16358447774207152, 3.5465620882812137]","[0.04075376390087034, 0.2632230461020137, 0.6363971554115959]",False,"[[61004, 24]]"
61004,26,population,"[0.12934106598036219, 61.44951603849626, 0.23969201910581434, 3.1169761597543024]","[0.033945523722424674, 0.3334089255683469, 0.8249557412483721]",False,"[[61004, 26]]"
61005,1,returned,"[0.07022135274398865, 55.20578355526896, 0.17173427860545387, 0.4219339994707009]","[0.26594714832529864, 0.18802280494268397, 0.413736741567503]",False,"[[61005, 1], [61005, 11]]"
61005,2,returned,"[0.07018314711424696, 50.95792795077908, 0.15605979106714948, 0.39608542338192765]","[0.3803920594806317, 0.1921926690267648, 0.4082692185684976]",False,"[[61005, 2], [61005, 6], [61005, 12], [61005, 24]]"
61005,3,returned,"[0.15615433720654628, 64.33983632579614, 0.1901823023442058, 1.8176500077387157]","[0.010252176276768126, 0.4459293221374952, 1.1281084174411573]",False,"[[61005, 3], [61005, 19]]"
61005,4,returned,"[0.1005582276936317, 60.34935319432581, 0.22719555662474894, 0.8072652549443058]","[0.07554430358794673, 0.2531784120759462, 0.6068865308633986]",False,"[[61005, 4], [61005, 20]]"
61005,5,returned,"[0.16839476196590125, 64.2424861279426, 0.21136790418077728, 3.212521515861319]","[0.008929541615490151, 0.47813309159670003, 1.2144920129912098]",False,"[[61005, 5], [61005, 21]]"
61005,7,returned,"[0.10785022233733607, 54.75670175511788, 0.19299323267967064, 2.935652029903705]","[0.18684028582011628, 0.2558896558439077, 0.60436013638935]",False,"[[61005, 7], [61005, 25]]"
61005,8,returned,"[0.1078851725647477, 64.47021945628425, 0.23120122962336456, 2.1288938688286856]","[0.024067142054647165, 0.2975729541101698, 0.7296212808274294]",False,"[[61005, 8], [61005, 29]]"
61005,9,returned,"[0.199961228164987, 64.47403329511573, 0.23295923299772525, 3.4193076694543283]","[0.00589099892059025, 0.568077474790889, 1.4557142999957604]",False,"[[61005, 9], [61005, 33]]"
