set,solution_a,solution_b,a_f1,a_f2,a_f3,b_f1,b_f2,b_f3,relation
H,H01,H02,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.01972677872136952,0.23841950853573274,0.5714115538663084,INCOMPARABLE
H,H01,H03,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.05828075440129852,0.19941617063833772,0.46413468947681863,INCOMPARABLE
H,H01,H04,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.02457691936192455,0.22430412334234848,0.5332519764143472,INCOMPARABLE
H,H01,H05,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.04364029326634516,0.21059554013040163,0.49516643659138637,INCOMPARABLE
H,H01,H06,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.1276954984367705,0.1833217803871849,0.41541905443579263,INCOMPARABLE
H,H01,H07,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.07617255010363969,0.18737255918970133,0.43050206568236915,INCOMPARABLE
H,H01,H08,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.017309193030289972,0.25205272041996435,0.6081095946589916,INCOMPARABLE
H,H01,H09,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
H,H02,H03,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.05828075440129852,0.19941617063833772,0.46413468947681863,INCOMPARABLE
H,H02,H04,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.02457691936192455,0.22430412334234848,0.5332519764143472,INCOMPARABLE
H,H02,H05,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.04364029326634516,0.21059554013040163,0.49516643659138637,INCOMPARABLE
H,H02,H06,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.1276954984367705,0.1833217803871849,0.41541905443579263,INCOMPARABLE
H,H02,H07,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.07617255010363969,0.18737255918970133,0.43050206568236915,INCOMPARABLE
H,H02,H08,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.017309193030289972,0.25205272041996435,0.6081095946589916,INCOMPARABLE
H,H02,H09,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
H,H03,H04,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.02457691936192455,0.22430412334234848,0.5332519764143472,INCOMPARABLE
H,H03,H05,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.04364029326634516,0.21059554013040163,0.49516643659138637,INCOMPARABLE
H,H03,H06,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.1276954984367705,0.1833217803871849,0.41541905443579263,INCOMPARABLE
H,H03,H07,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.07617255010363969,0.18737255918970133,0.43050206568236915,INCOMPARABLE
H,H03,H08,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.017309193030289972,0.25205272041996435,0.6081095946589916,INCOMPARABLE
H,H03,H09,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
H,H04,H05,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.04364029326634516,0.21059554013040163,0.49516643659138637,INCOMPARABLE
H,H04,H06,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.1276954984367705,0.1833217803871849,0.41541905443579263,INCOMPARABLE
H,H04,H07,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.07617255010363969,0.18737255918970133,0.43050206568236915,INCOMPARABLE
H,H04,H08,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.017309193030289972,0.25205272041996435,0.6081095946589916,INCOMPARABLE
H,H04,H09,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
H,H05,H06,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.1276954984367705,0.1833217803871849,0.41541905443579263,INCOMPARABLE
H,H05,H07,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.07617255010363969,0.18737255918970133,0.43050206568236915,INCOMPARABLE
H,H05,H08,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.017309193030289972,0.25205272041996435,0.6081095946589916,INCOMPARABLE
H,H05,H09,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
H,H06,H07,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.07617255010363969,0.18737255918970133,0.43050206568236915,INCOMPARABLE
H,H06,H08,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.017309193030289972,0.25205272041996435,0.6081095946589916,INCOMPARABLE
H,H06,H09,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
H,H07,H08,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.017309193030289972,0.25205272041996435,0.6081095946589916,INCOMPARABLE
H,H07,H09,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
H,H08,H09,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.01473445910295798,0.2817578635269986,0.6878844743274163,INCOMPARABLE
C,C01,C02,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.0955252717045421,0.18471976529485853,0.4218617884956555,INCOMPARABLE
C,C01,C03,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.0976824159460894,0.18475249104828215,0.42177467537964236,INCOMPARABLE
C,C01,C04,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.035509414628851016,0.19958292469520714,0.4662395996524617,INCOMPARABLE
