solution_id,source,dominated_internal,dominator_count,dominators_internal,dominates_count,dominates_internal,exact_equal_count,exact_equals_internal,within_set_nondominated
H01,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H02,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H03,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H04,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H05,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H06,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H07,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H08,HIST_R1_REEVAL,NO,0,,0,,0,,YES
H09,HIST_R1_REEVAL,NO,0,,0,,0,,YES
C01,CORRECTED_R1,NO,0,,0,,0,,YES
C02,CORRECTED_R1,NO,0,,0,,0,,YES
C03,CORRECTED_R1,NO,0,,0,,0,,YES
C04,CORRECTED_R1,NO,0,,0,,0,,YES
C05,CORRECTED_R1,NO,0,,0,,0,,YES
C06,CORRECTED_R1,NO,0,,0,,0,,YES
C07,CORRECTED_R1,NO,0,,0,,0,,YES
C08,CORRECTED_R1,NO,0,,0,,0,,YES
C09,CORRECTED_R1,NO,0,,0,,0,,YES
