scope,solution_id,metric,count
GLOBAL,ALL,C_DOMINATES_H,1
GLOBAL,ALL,H_DOMINATES_C,2
GLOBAL,ALL,INCOMPARABLE,78
GLOBAL,ALL,EXACT_EQUAL,0
C_SOLUTION,C01,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C01,H_DOMINATES_C_COUNT_AGAINST_C,0
C_SOLUTION,C01,INCOMPARABLE_H_COUNT_BY_C,9
C_SOLUTION,C01,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C02,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C02,H_DOMINATES_C_COUNT_AGAINST_C,0
C_SOLUTION,C02,INCOMPARABLE_H_COUNT_BY_C,9
C_SOLUTION,C02,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C03,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C03,H_DOMINATES_C_COUNT_AGAINST_C,0
C_SOLUTION,C03,INCOMPARABLE_H_COUNT_BY_C,9
C_SOLUTION,C03,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C04,C_DOMINATES_H_COUNT_BY_C,1
C_SOLUTION,C04,H_DOMINATES_C_COUNT_AGAINST_C,0
C_SOLUTION,C04,INCOMPARABLE_H_COUNT_BY_C,8
C_SOLUTION,C04,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C05,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C05,H_DOMINATES_C_COUNT_AGAINST_C,0
C_SOLUTION,C05,INCOMPARABLE_H_COUNT_BY_C,9
C_SOLUTION,C05,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C06,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C06,H_DOMINATES_C_COUNT_AGAINST_C,1
C_SOLUTION,C06,INCOMPARABLE_H_COUNT_BY_C,8
C_SOLUTION,C06,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C07,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C07,H_DOMINATES_C_COUNT_AGAINST_C,0
C_SOLUTION,C07,INCOMPARABLE_H_COUNT_BY_C,9
C_SOLUTION,C07,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C08,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C08,H_DOMINATES_C_COUNT_AGAINST_C,1
C_SOLUTION,C08,INCOMPARABLE_H_COUNT_BY_C,8
C_SOLUTION,C08,EXACT_EQUAL_H_COUNT_BY_C,0
C_SOLUTION,C09,C_DOMINATES_H_COUNT_BY_C,0
C_SOLUTION,C09,H_DOMINATES_C_COUNT_AGAINST_C,0
C_SOLUTION,C09,INCOMPARABLE_H_COUNT_BY_C,9
C_SOLUTION,C09,EXACT_EQUAL_H_COUNT_BY_C,0
H_SOLUTION,H01,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H01,H_DOMINATES_C_COUNT_BY_H,0
H_SOLUTION,H01,INCOMPARABLE_C_COUNT_BY_H,9
H_SOLUTION,H01,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H02,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H02,H_DOMINATES_C_COUNT_BY_H,1
H_SOLUTION,H02,INCOMPARABLE_C_COUNT_BY_H,8
H_SOLUTION,H02,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H03,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H03,H_DOMINATES_C_COUNT_BY_H,0
H_SOLUTION,H03,INCOMPARABLE_C_COUNT_BY_H,9
H_SOLUTION,H03,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H04,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H04,H_DOMINATES_C_COUNT_BY_H,0
H_SOLUTION,H04,INCOMPARABLE_C_COUNT_BY_H,9
H_SOLUTION,H04,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H05,C_DOMINATES_H_COUNT_AGAINST_H,1
H_SOLUTION,H05,H_DOMINATES_C_COUNT_BY_H,0
H_SOLUTION,H05,INCOMPARABLE_C_COUNT_BY_H,8
H_SOLUTION,H05,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H06,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H06,H_DOMINATES_C_COUNT_BY_H,0
H_SOLUTION,H06,INCOMPARABLE_C_COUNT_BY_H,9
H_SOLUTION,H06,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H07,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H07,H_DOMINATES_C_COUNT_BY_H,0
H_SOLUTION,H07,INCOMPARABLE_C_COUNT_BY_H,9
H_SOLUTION,H07,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H08,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H08,H_DOMINATES_C_COUNT_BY_H,1
H_SOLUTION,H08,INCOMPARABLE_C_COUNT_BY_H,8
H_SOLUTION,H08,EXACT_EQUAL_C_COUNT_BY_H,0
H_SOLUTION,H09,C_DOMINATES_H_COUNT_AGAINST_H,0
H_SOLUTION,H09,H_DOMINATES_C_COUNT_BY_H,0
H_SOLUTION,H09,INCOMPARABLE_C_COUNT_BY_H,9
H_SOLUTION,H09,EXACT_EQUAL_C_COUNT_BY_H,0
