h_id,c_id,exact_classification,h_f1,h_f2,h_f3,c_f1,c_f2,c_f3,delta_f1_C_minus_H,delta_f2_C_minus_H,delta_f3_C_minus_H,abs_delta_f1,abs_delta_f2,abs_delta_f3,tau_f1,tau_f2,tau_f3,near_tie_f1,near_tie_f2,near_tie_f3,near_tie_objective_count_pair,pair_has_near_tie,strict_improvement_objectives,dominance_relation_numerically_fragile
H01,C01,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.14606243705153843,0.09090014823993647,0.25527342445801215,0.14606243705153843,0.09090014823993647,0.25527342445801215,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C02,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.0955252717045421,0.18471976529485853,0.4218617884956555,-0.0657007212003878,0.004412754794312496,0.0175520465355834,0.0657007212003878,0.004412754794312496,0.0175520465355834,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C03,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.0976824159460894,0.18475249104828215,0.42177467537964236,-0.0635435769588405,0.004445480547736108,0.017464933419570283,0.0635435769588405,0.004445480547736108,0.017464933419570283,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C04,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.035509414628851016,0.19958292469520714,0.4662395996524617,-0.12571657827607888,0.019275914194661098,0.06192985769238962,0.12571657827607888,0.019275914194661098,0.06192985769238962,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C05,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.028886799370315748,0.21733365919792744,0.5142727514952378,-0.13233919353461415,0.0370266486973814,0.10996300953516569,0.13233919353461415,0.0370266486973814,0.10996300953516569,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C06,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.02239970549598287,0.2413384494217395,0.5790487923268146,-0.13882628740894704,0.06103143892119345,0.17473905036674253,0.13882628740894704,0.06103143892119345,0.17473905036674253,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C07,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.026511805459522943,0.22338322638493963,0.5306495452737388,-0.13471418744540695,0.04307621588439359,0.12633980331366668,0.13471418744540695,0.04307621588439359,0.12633980331366668,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C08,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.14300653966460164,0.07441873720976389,0.21090019859667475,0.14300653966460164,0.07441873720976389,0.21090019859667475,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H01,C09,INCOMPARABLE,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.06592893450793702,0.1898535301772997,0.43793525200889427,-0.09529705839699287,0.009546519676753656,0.033625510048822194,0.09529705839699287,0.009546519676753656,0.033625510048822194,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C01,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.004563222867978058,0.032787650204749774,0.08817161255177586,0.004563222867978058,0.032787650204749774,0.08817161255177586,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C02,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.07579849298317258,-0.053699743240874204,-0.1495497653706529,0.07579849298317258,0.053699743240874204,0.1495497653706529,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C03,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.07795563722471988,-0.05366701748745059,-0.14963687848666601,0.07795563722471988,0.05366701748745059,0.14963687848666601,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C04,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.015782635907481496,-0.0388365838405256,-0.10517195421384667,0.015782635907481496,0.0388365838405256,0.10517195421384667,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C05,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.009160020648946228,-0.0210858493378053,-0.05713880237107061,0.009160020648946228,0.0210858493378053,0.05713880237107061,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C06,H_DOMINATES_C,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.02239970549598287,0.2413384494217395,0.5790487923268146,0.0026729267746133482,0.002918940886006749,0.007637238460506235,0.0026729267746133482,0.002918940886006749,0.007637238460506235,1e-12,1e-12,1e-12,False,False,False,0,False,f1;f2;f3,False
H02,C07,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.026511805459522943,0.22338322638493963,0.5306495452737388,0.006785026738153423,-0.015036282150793112,-0.04076200859256962,0.006785026738153423,0.015036282150793112,0.04076200859256962,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C08,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.0015073254810412766,0.016306239174577186,0.04379838669043845,0.0015073254810412766,0.016306239174577186,0.04379838669043845,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H02,C09,INCOMPARABLE,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.06592893450793702,0.1898535301772997,0.43793525200889427,0.0462021557865675,-0.04856597835843304,-0.1334763018574141,0.0462021557865675,0.04856597835843304,0.1334763018574141,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C01,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.043117198547907055,0.07179098810214479,0.1954484769412656,0.043117198547907055,0.07179098810214479,0.1954484769412656,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C02,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.03724451730324358,-0.014696405343479185,-0.04227290098116315,0.03724451730324358,0.014696405343479185,0.04227290098116315,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C03,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.03940166154479088,-0.014663679590055573,-0.04236001409717627,0.03940166154479088,0.014663679590055573,0.04236001409717627,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C04,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.035509414628851016,0.19958292469520714,0.4662395996524617,-0.022771339772447503,0.00016675405686941702,0.002104910175643071,0.022771339772447503,0.00016675405686941702,0.002104910175643071,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C05,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.028886799370315748,0.21733365919792744,0.5142727514952378,-0.02939395503098277,0.017917488559589717,0.05013806201841914,0.02939395503098277,0.017917488559589717,0.05013806201841914,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C06,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.02239970549598287,0.2413384494217395,0.5790487923268146,-0.035881048905315654,0.04192227878340177,0.11491410284999598,0.035881048905315654,0.04192227878340177,0.11491410284999598,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C07,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.026511805459522943,0.22338322638493963,0.5306495452737388,-0.03176894894177558,0.023967055746601906,0.06651485579692012,0.03176894894177558,0.023967055746601906,0.06651485579692012,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C08,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.04006130116097027,0.055309577071972205,0.1510752510799282,0.04006130116097027,0.055309577071972205,0.1510752510799282,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H03,C09,INCOMPARABLE,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.06592893450793702,0.1898535301772997,0.43793525200889427,0.007648180106638501,-0.009562640461038024,-0.026199437467924358,0.007648180106638501,0.009562640461038024,0.026199437467924358,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C01,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.009413363508533086,0.046903035398134035,0.12633119000373705,0.009413363508533086,0.046903035398134035,0.12633119000373705,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C02,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.07094835234261755,-0.03958435804748994,-0.11139018791869171,0.07094835234261755,0.03958435804748994,0.11139018791869171,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C03,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.07310549658416485,-0.03955163229406633,-0.11147730103470482,0.07310549658416485,0.03955163229406633,0.11147730103470482,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C04,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.010932495266926467,-0.02472119864714134,-0.06701237676188548,0.010932495266926467,0.02472119864714134,0.06701237676188548,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C05,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.0043098800083911995,-0.00697046414442104,-0.018979224919109416,0.0043098800083911995,0.00697046414442104,0.018979224919109416,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C06,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.02239970549598287,0.2413384494217395,0.5790487923268146,-0.0021772138659416802,0.01703432607939101,0.045796815912467426,0.0021772138659416802,0.01703432607939101,0.045796815912467426,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C07,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.026511805459522943,0.22338322638493963,0.5306495452737388,0.0019348860975983949,-0.000920896957408851,-0.00260243114060843,0.0019348860975983949,0.000920896957408851,0.00260243114060843,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C08,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.006357466121596305,0.030421624367961447,0.08195796414239964,0.006357466121596305,0.030421624367961447,0.08195796414239964,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H04,C09,INCOMPARABLE,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.06592893450793702,0.1898535301772997,0.43793525200889427,0.04135201514601247,-0.03445059316504878,-0.09531672440545291,0.04135201514601247,0.03445059316504878,0.09531672440545291,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C01,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.028476737412953694,0.06061161861008088,0.16441672982669786,0.028476737412953694,0.06061161861008088,0.16441672982669786,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C02,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.05188497843819694,-0.025875774835543097,-0.0733046480957309,0.05188497843819694,0.025875774835543097,0.0733046480957309,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C03,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.05404212267974424,-0.025843049082119485,-0.07339176121174401,0.05404212267974424,0.025843049082119485,0.07339176121174401,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C04,C_DOMINATES_H,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.035509414628851016,0.19958292469520714,0.4662395996524617,-0.008130878637494142,-0.011012615435194495,-0.02892683693892467,0.008130878637494142,0.011012615435194495,0.02892683693892467,1e-12,1e-12,1e-12,False,False,False,0,False,f1;f2;f3,False
H05,C05,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.028886799370315748,0.21733365919792744,0.5142727514952378,-0.01475349389602941,0.006738119067525805,0.019106314903851396,0.01475349389602941,0.006738119067525805,0.019106314903851396,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C06,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.02239970549598287,0.2413384494217395,0.5790487923268146,-0.02124058777036229,0.030742909291337855,0.08388235573542824,0.02124058777036229,0.030742909291337855,0.08388235573542824,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C07,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.026511805459522943,0.22338322638493963,0.5306495452737388,-0.017128487806822214,0.012787686254537994,0.03548310868235238,0.017128487806822214,0.012787686254537994,0.03548310868235238,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C08,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.025420840026016914,0.04413020757990829,0.12004350396536045,0.025420840026016914,0.04413020757990829,0.12004350396536045,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H05,C09,INCOMPARABLE,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.06592893450793702,0.1898535301772997,0.43793525200889427,0.022288641241591862,-0.020742009953101936,-0.0572311845824921,0.022288641241591862,0.020742009953101936,0.0572311845824921,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C01,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.11253194258337904,0.0878853783532976,0.2441641119822916,0.11253194258337904,0.0878853783532976,0.2441641119822916,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C02,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.0955252717045421,0.18471976529485853,0.4218617884956555,-0.0321702267322284,0.0013979849076736217,0.006442734059862842,0.0321702267322284,0.0013979849076736217,0.006442734059862842,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C03,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.0976824159460894,0.18475249104828215,0.42177467537964236,-0.030013082490681103,0.0014307106610972342,0.006355620943849727,0.030013082490681103,0.0014307106610972342,0.006355620943849727,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C04,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.035509414628851016,0.19958292469520714,0.4662395996524617,-0.09218608380791948,0.016261144308022224,0.050820545216669066,0.09218608380791948,0.016261144308022224,0.050820545216669066,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C05,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.028886799370315748,0.21733365919792744,0.5142727514952378,-0.09880869906645476,0.034011878810742524,0.09885369705944513,0.09880869906645476,0.034011878810742524,0.09885369705944513,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
