scope,solution_id,counterpart_id,exact_classification,cross_comparisons,comparisons_with_near_tie,fragile_dominance_relations_involving_solution,near_tie_objective_count,pair_with_near_tie_count,numerically_fragile_dominance_count,dominance_numeric_sensitivity,strict_improvement_objectives,abs_delta_f1,abs_delta_f2,abs_delta_f3,tau_f1,tau_f2,tau_f3,near_tie_f1,near_tie_f2,near_tie_f3,dominance_relation_numerically_fragile
GLOBAL,,,,,,,0,0,0,PASS_NO_FRAGILE_DOMINANCE,,,,,,,,,,,
H_SOLUTION,H01,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H02,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H03,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H04,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H05,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H06,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H07,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H08,,,9,0,0,,,,,,,,,,,,,,,
H_SOLUTION,H09,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C01,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C02,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C03,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C04,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C05,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C06,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C07,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C08,,,9,0,0,,,,,,,,,,,,,,,
C_SOLUTION,C09,,,9,0,0,,,,,,,,,,,,,,,
EXACT_DOMINANCE_RELATION,H02,C06,H_DOMINATES_C,,,,,,,,f1;f2;f3,0.0026729267746133482,0.002918940886006749,0.007637238460506235,1e-12,1e-12,1e-12,False,False,False,False
EXACT_DOMINANCE_RELATION,C04,H05,C_DOMINATES_H,,,,,,,,f1;f2;f3,0.008130878637494142,0.011012615435194495,0.02892683693892467,1e-12,1e-12,1e-12,False,False,False,False
EXACT_DOMINANCE_RELATION,H08,C08,H_DOMINATES_C,,,,,,,,f1;f2;f3,0.000910260210038271,0.0026730272903455754,0.007100345897755211,1e-12,1e-12,1e-12,False,False,False,False
