solution_id,source,in_nondominated_core,dominated_by_any_other_set_exact,dominating_other_set_solution_ids
H01,HIST_R1_REEVAL,True,False,
H02,HIST_R1_REEVAL,True,False,
H03,HIST_R1_REEVAL,True,False,
H04,HIST_R1_REEVAL,True,False,
H05,HIST_R1_REEVAL,True,True,C04
H06,HIST_R1_REEVAL,True,False,
H07,HIST_R1_REEVAL,True,False,
H08,HIST_R1_REEVAL,True,False,
H09,HIST_R1_REEVAL,True,False,
C01,CORRECTED_R1,True,False,
C02,CORRECTED_R1,True,False,
C03,CORRECTED_R1,True,False,
C04,CORRECTED_R1,True,False,
C05,CORRECTED_R1,True,False,
C06,CORRECTED_R1,True,True,H02
C07,CORRECTED_R1,True,False,
C08,CORRECTED_R1,True,True,H08
C09,CORRECTED_R1,True,False,
