solution_id,source,in_N_H,in_N_C,f1_raw,f2_raw,f3_raw,z1,z2,z3
H01,HIST_R1_REEVAL,YES,NO,0.1612259929049299,0.18030701050054604,0.4043097419600721,1.0,0.0,0.0
H02,HIST_R1_REEVAL,YES,NO,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.034079236450347945,0.5728142869339333,0.5892690456277033
H03,HIST_R1_REEVAL,YES,NO,0.05828075440129852,0.19941617063833772,0.46413468947681863,0.2972615151753866,0.18835879214154175,0.2109671303127565
H04,HIST_R1_REEVAL,YES,NO,0.02457691936192455,0.22430412334234848,0.5332519764143472,0.06718791184391353,0.4336790823269915,0.45470283398607836
H05,HIST_R1_REEVAL,YES,NO,0.04364029326634516,0.21059554013040163,0.49516643659138637,0.1973208513364482,0.29855372060753477,0.32039770917818605
H06,HIST_R1_REEVAL,YES,NO,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.7711096771402086,0.029716555324111417,0.039175960364936514
H07,HIST_R1_REEVAL,YES,NO,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.4193968716563106,0.06964503972492969,0.09236480099491869
H08,HIST_R1_REEVAL,YES,NO,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.017575991325290728,0.7071967142623349,0.718681283757384
H09,HIST_R1_REEVAL,YES,NO,0.01473445910295798,0.2817578635269986,0.6878844743274163,0.0,1.0,1.0
C01,CORRECTED_R1,NO,YES,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.002929157332829464,0.8960018129786934,0.9001980618193077
C02,CORRECTED_R1,NO,YES,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.5515049948947739,0.043496477976009744,0.06189566464210353
C03,CORRECTED_R1,NO,YES,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.5662303799430548,0.04381905538612851,0.06158846831580931
C04,CORRECTED_R1,NO,YES,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.14181676569771423,0.1900024851406133,0.21838990087510815
C05,CORRECTED_R1,NO,YES,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.09660858822386952,0.36497128996763556,0.3877743571056924
C06,CORRECTED_R1,NO,YES,0.02239970549598287,0.2413384494217395,0.5790487923268146,0.05232552485515519,0.6015862567984515,0.6162010589165774
C07,CORRECTED_R1,NO,YES,0.026511805459522943,0.22338322638493963,0.5306495452737388,0.08039608877660907,0.4246018106241234,0.44552560187205054
C08,CORRECTED_R1,NO,YES,0.018219453240328243,0.2547257477103099,0.6152099405567468,0.023789730689019187,0.7335447163796616,0.7437199952056148
C09,CORRECTED_R1,NO,YES,0.06592893450793702,0.1898535301772997,0.43793525200889427,0.3494705398755946,0.09409994486950712,0.11857724335348585
