solution_id,source,dry_time_h_raw,nominal_terminal_horizon_h,termination_class,termination_evidence_basis,termination_source_artifact,is_tmax,is_normal_termination,common_nominal_horizon_under_D014
H01,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H02,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H03,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H04,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H05,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H06,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H07,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H08,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
H09,HIST_R1_REEVAL,19.900000000000006,19.9,TMAX,RECORDED_TMAX_AND_DRY_TIME_IN_HISTORICAL_REEVALUATION_MEMO,06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md,YES,NO,YES
C01,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C02,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C03,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C04,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C05,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C06,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C07,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C08,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
C09,CORRECTED_R1,19.9,19.9,TMAX,TMAX_INFERRED_FROM_DRY_TIME_BECAUSE_OBJECTIVE_DETAIL_DOES_NOT_PROPAGATE_STATUS,06_manuscript/article_Q1/review/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z.md,YES,NO,YES
