"component","H_available_count","C_available_count","total_available_count","source_basis","unit","availability_limitation","availability_status"
"Q_aux_tot","9","9","18","H memo section 13; C JSON Q_aux_tot_MJ","MJ","NONE","COMPLETE_18"
"Q_LPG_input","9","9","18","H memo section 13; C JSON LPG_fuel_input_MJ","MJ","NONE","COMPLETE_18"
"LPG_mass_kg","9","9","18","H memo section 13; C JSON LPG_mass_kg","kg","NONE","COMPLETE_18"
"LPG_cost_USD","9","9","18","H memo section 13; C JSON LPG_cost_USD","USD","NONE","COMPLETE_18"
"Irradiacion","0","0","0","No unambiguous persisted field","NOT_UNAMBIGUOUSLY_DOCUMENTED","Solar energy is persisted but not equated with Irradiacion.","NOT_AVAILABLE"
"solar_cost_USD","9","9","18","H memo section 14; C JSON solar_cost_USD","USD","NONE","COMPLETE_18"
"E_air_impeller_kWh","9","9","18","H memo section 15; C JSON electric_energy_kWh","kWh","NONE","COMPLETE_18"
"electricity_cost_USD","9","9","18","H memo section 15; C JSON electric_cost_USD","USD","NONE","COMPLETE_18"
"CO2_LPG_kg","9","0","9","H memo section 13 only","kg_CO2","Persisted for H only; not fabricated for C.","COMPLETE_H_ONLY"
"CO2_electricity_kg","9","0","9","H memo section 15 only","kg_CO2","Persisted for H only; not fabricated for C.","COMPLETE_H_ONLY"
