"solution_id","source","m_max","T_min","r_div2","t_rec_ini","f1","f2","f3","ParetoRank","water_removed_kg","total_cost_USD","total_CO2_kg","water_removed_raw_serialization","total_cost_raw_serialization","total_CO2_raw_serialization","source_artifact","source_hash","source_locator","Q_aux_tot","Q_LPG_input","LPG_mass_kg","LPG_cost_USD","Irradiacion","solar_cost_USD","E_air_impeller_kWh","electricity_cost_USD","CO2_LPG_kg","CO2_electricity_kg","water_removed_value_provenance","total_cost_value_provenance","total_CO2_value_provenance","Q_aux_tot_availability","Q_aux_tot_value_provenance","Q_LPG_input_availability","Q_LPG_input_value_provenance","LPG_mass_kg_availability","LPG_mass_kg_value_provenance","LPG_cost_USD_availability","LPG_cost_USD_value_provenance","Irradiacion_availability","Irradiacion_value_provenance","solar_cost_USD_availability","solar_cost_USD_value_provenance","E_air_impeller_kWh_availability","E_air_impeller_kWh_value_provenance","electricity_cost_USD_availability","electricity_cost_USD_value_provenance","CO2_LPG_kg_availability","CO2_LPG_kg_value_provenance","CO2_electricity_kg_availability","CO2_electricity_kg_value_provenance","f2_stored","f2_from_decomposition","f2_abs_difference","f3_stored","f3_from_decomposition","f3_abs_difference","cost_component_sum_USD","cost_component_sum_difference_USD","CO2_component_sum_kg","CO2_component_sum_difference_kg"
"H01","HIST_R1_REEVAL","0.070046142528030181","60.156591772502757","0.76830538618950139","12.878460940690422","0.16122599290492989","0.18030701050054604","0.40430974196007208","1","144.05031860980554","25.973282310185212","58.24094714639665","144.05031860980554","25.973282310185212","58.240947146396650","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 1","589.761974203394","756.10509513255636","16.380093048798884","18.338407232097492","","6.1648666121331042","20.497000000000007","1.4700084659546171","49.140279146396651","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.18030701050054604","0.18030701050054604","0","0.40430974196007208","0.40430974196007208","0","25.973282310185212","0","58.24094714639665","0"
"H02","HIST_R1_REEVAL","0.086592714656809663","67.6658982743683","0.78750580887164956","13.218015646398698","0.01972677872136952","0.23841950853573274","0.57141155386630837","1","168.35127061089526","40.138227200415791","96.197861135139036","168.35127061089526","40.138227200415791","96.197861135139036","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 2","1045.3056731306845","1340.1354783726724","29.03239771171301","32.503352122328074","","6.1648666121331042","20.497000000000007","1.4700084659546171","87.097193135139037","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.23841950853573274","0.23841950853573274","0","0.57141155386630837","0.57141155386630837","0","40.1382272004158","7.1054273576010019E-15","96.197861135139036","0"
"H03","HIST_R1_REEVAL","0.07551842468224676","65.053855444621362","0.78863242040906423","12.874468004958777","0.058280754401298519","0.19941617063833772","0.46413468947681863","1","161.7300443528205","32.251586122007978","75.064523914768444","161.73004435282050","32.251586122007978","75.064523914768444","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 3","791.67181314668494","1014.9638630085705","21.987951971589482","24.616711043920255","","6.1648666121331042","20.497000000000007","1.4700084659546171","65.963855914768445","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.19941617063833772","0.19941617063833772","0","0.46413468947681863","0.46413468947681863","0","32.251586122007978","0","75.064523914768444","0"
"H04","HIST_R1_REEVAL","0.081899067781220122","67.509451895822863","0.78767498796452318","13.19349793754591","0.024576919361924549","0.22430412334234848","0.53325197641434718","1","167.51831167479992","37.575048044006294","89.329470786181659","167.51831167479992","37.575048044006294","89.329470786181659","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 4","962.87399951863779","1234.4538455367151","26.742934262060555","29.940172965918574","","6.1648666121331042","20.497000000000007","1.4700084659546171","80.22880278618166","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.22430412334234848","0.22430412334234848","0","0.53325197641434718","0.53325197641434718","0","37.575048044006294","0","89.329470786181659","0"
"H05","HIST_R1_REEVAL","0.0790661252821967","65.696284611763744","0.78858769817339969","13.19452289006977","0.043640293266345158","0.21059554013040163","0.49516643659138637","2","164.24438441730157","34.589134849746948","81.328306562061044","164.24438441730157","34.589134849746948","81.328306562061044","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 5","866.84722696643189","1111.3425986749126","24.075879520687014","26.954259771659224","","6.1648666121331042","20.497000000000007","1.4700084659546171","72.227638562061045","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.21059554013040163","0.21059554013040163","0","0.49516643659138637","0.49516643659138637","0","34.589134849746941","-7.1054273576010019E-15","81.328306562061044","0"
"H06","HIST_R1_REEVAL","0.070584572667251752","61.465408958317923","0.72695987006849594","13.492282252254155","0.1276954984367705","0.18332178038718491","0.41541905443579263","1","149.80881657281549","27.463218971825746","62.233436926824112","149.80881657281549","27.463218971825746","62.233436926824112","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 6","637.67823955217216","817.53620455406679","17.710922975608035","19.828343893738026","","6.1648666121331042","20.497000000000007","1.4700084659546171","53.132768926824106","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.18332178038718491","0.18332178038718491","0","0.41541905443579263","0.41541905443579263","0","27.463218971825746","0","62.233436926824112","0"
"H07","HIST_R1_REEVAL","0.070501559263295835","64.429163076711561","0.7425902251041494","13.254774807538176","0.076172550103639686","0.18737255918970133","0.43050206568236915","1","158.65732291698362","29.72802862914207","68.302305251396135","158.65732291698362","29.728028629142070","68.302305251396135","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 7","710.51436963635581","910.9158585081484","19.733879083798712","22.09315355105435","","6.1648666121331042","20.497000000000007","1.4700084659546171","59.201637251396136","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.18737255918970133","0.18737255918970133","0","0.43050206568236915","0.43050206568236915","0","29.72802862914207","0","68.302305251396135","0"
"H08","HIST_R1_REEVAL","0.088810235788373118","67.670935605132144","0.69738025432668271","13.540701896478149","0.017309193030289972","0.25205272041996435","0.60810959465899161","1","168.76646467523281","42.538046537052246","102.62850642568685","168.76646467523281","42.538046537052246","102.62850642568685","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 8","1122.4837056497233","1439.0816739099016","31.175946141895619","34.903171458964529","","6.1648666121331042","20.497000000000007","1.4700084659546171","93.527838425686852","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.25205272041996435","0.25205272041996435","0","0.60810959465899161","0.60810959465899161","0","42.538046537052253","7.1054273576010019E-15","102.62850642568685","0"
"H09","HIST_R1_REEVAL","0.092263660466741712","67.675076369966987","0.43299403155345362","13.828920062323046","0.014734459102957981","0.28175786352699861","0.68788447432741628","1","169.20864724101375","47.6758669369216","116.39600135903795","169.20864724101375","47.675866936921601","116.39600135903795","06_manuscript/article_Q1/review/COST_E3D_R2G_EXISTING_R1_REEVALUATION_MEMO_v96z.md","7C025689D5832CBA9ECB8D90E9A4A5D5E911A46B0109C6D1C270E19E7E8EBFB2","sections 8,13-15; R1 row 9","1287.71567284183","1650.9175292843972","35.765111119679318","40.040991858833884","","6.1648666121331042","20.497000000000007","1.4700084659546171","107.29533335903795","9.1006680000000024","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","AVAILABLE","DOCUMENTARY_SERIALIZATION","0.28175786352699861","0.28175786352699861","0","0.68788447432741628","0.68788447432741628","0","47.675866936921608","7.1054273576010019E-15","116.39600135903795","0"
"C01","CORRECTED_R1","0.091965751102243268","67.657551106556582","0.52837222192163691","13.20509644876919","0.015163555853391462","0.27120715874048251","0.65958316641808423","1","169.1349545382219","45.87061046401184","111.55856886629913","169.1349545382219","45.87061046401184","111.55856886629913","05_runs/triobjective_formal_ga_v96m/CORRECTED_R1_COST_E3D_v96z_20260808_005736/audit/CORRECTED_R1_POSTRUN_INTERNAL_AUDIT_v96z_FINAL.json","59D1BF2B006E31578690567FFB9566B8C7233E724B790A4831E81FF4A409AEB0","rows[0] / index=1","1229.6587430369757","1576.4855679961224","34.152633622099707","38.235735385924123","","6.1648666121331042","20.497000000000007","1.4700084659546171","","","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","AVAILABLE","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","AVAILABLE","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","AVAILABLE","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","AVAILABLE","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","AVAILABLE","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","AVAILABLE","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","AVAILABLE","VALIDATED_JSON_SERIALIZATION_OF_BINARY64","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","NOT_AVAILABLE_IN_VALIDATED_ARTIFACTS","0.27120715874048251","0.27120715874048251","0","0.65958316641808423","0.65958316641808423","0","45.870610464011847","7.1054273576010019E-15","",""
