solution_id,source,ParetoRank,registry_categories,cross_pair_id,cross_pair_role,cross_pair_counterpart_id,global_min_f1,global_min_f2,global_min_f3,joint_rank1_retained,fragile_dominance_representative,bound_proximity_selection,compromise_selection,m_max,T_min,r_div2,t_rec_ini,f1,f2,f3,water_removed_kg,total_cost_USD,total_CO2_kg,Q_aux_tot,Q_LPG_input,LPG_mass_kg,LPG_cost_USD,solar_cost_USD,E_air_impeller_kWh,electricity_cost_USD
H01,HIST_R1_REEVAL,1,GLOBAL_MIN_F2;GLOBAL_MIN_F3;H_JOINT_RANK1_RETAINED,,,,NO,YES,YES,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.070046142528030181,60.156591772502757,0.76830538618950139,12.878460940690422,0.16122599290492989,0.18030701050054604,0.40430974196007208,144.05031860980554,25.973282310185212,58.24094714639665,589.761974203394,756.10509513255636,16.380093048798884,18.338407232097492,6.1648666121331042,20.497000000000007,1.4700084659546171
H02,HIST_R1_REEVAL,1,EXACT_CROSS_DOMINANCE_PARTICIPANT;H_JOINT_RANK1_RETAINED,XD02,DOMINATOR,C06,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.086592714656809663,67.6658982743683,0.78750580887164956,13.218015646398698,0.01972677872136952,0.23841950853573274,0.57141155386630837,168.35127061089526,40.138227200415791,96.197861135139036,1045.3056731306845,1340.1354783726724,29.03239771171301,32.503352122328074,6.1648666121331042,20.497000000000007,1.4700084659546171
H03,HIST_R1_REEVAL,1,H_JOINT_RANK1_RETAINED,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.07551842468224676,65.053855444621362,0.78863242040906423,12.874468004958777,0.058280754401298519,0.19941617063833772,0.46413468947681863,161.7300443528205,32.251586122007978,75.064523914768444,791.67181314668494,1014.9638630085705,21.987951971589482,24.616711043920255,6.1648666121331042,20.497000000000007,1.4700084659546171
H04,HIST_R1_REEVAL,1,H_JOINT_RANK1_RETAINED,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.081899067781220122,67.509451895822863,0.78767498796452318,13.19349793754591,0.024576919361924549,0.22430412334234848,0.53325197641434718,167.51831167479992,37.575048044006294,89.329470786181659,962.87399951863779,1234.4538455367151,26.742934262060555,29.940172965918574,6.1648666121331042,20.497000000000007,1.4700084659546171
H05,HIST_R1_REEVAL,2,EXACT_CROSS_DOMINANCE_PARTICIPANT,XD01,DOMINATED,C04,NO,NO,NO,NO,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.0790661252821967,65.696284611763744,0.78858769817339969,13.19452289006977,0.043640293266345158,0.21059554013040163,0.49516643659138637,164.24438441730157,34.589134849746948,81.328306562061044,866.84722696643189,1111.3425986749126,24.075879520687014,26.954259771659224,6.1648666121331042,20.497000000000007,1.4700084659546171
H06,HIST_R1_REEVAL,1,H_JOINT_RANK1_RETAINED,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.070584572667251752,61.465408958317923,0.72695987006849594,13.492282252254155,0.1276954984367705,0.18332178038718491,0.41541905443579263,149.80881657281549,27.463218971825746,62.233436926824112,637.67823955217216,817.53620455406679,17.710922975608035,19.828343893738026,6.1648666121331042,20.497000000000007,1.4700084659546171
H07,HIST_R1_REEVAL,1,H_JOINT_RANK1_RETAINED,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.070501559263295835,64.429163076711561,0.7425902251041494,13.254774807538176,0.076172550103639686,0.18737255918970133,0.43050206568236915,158.65732291698362,29.72802862914207,68.302305251396135,710.51436963635581,910.9158585081484,19.733879083798712,22.09315355105435,6.1648666121331042,20.497000000000007,1.4700084659546171
H08,HIST_R1_REEVAL,1,EXACT_CROSS_DOMINANCE_PARTICIPANT;H_JOINT_RANK1_RETAINED,XD03,DOMINATOR,C08,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.088810235788373118,67.670935605132144,0.69738025432668271,13.540701896478149,0.017309193030289972,0.25205272041996435,0.60810959465899161,168.76646467523281,42.538046537052246,102.62850642568685,1122.4837056497233,1439.0816739099016,31.175946141895619,34.903171458964529,6.1648666121331042,20.497000000000007,1.4700084659546171
H09,HIST_R1_REEVAL,1,GLOBAL_MIN_F1;H_JOINT_RANK1_RETAINED,,,,YES,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.092263660466741712,67.675076369966987,0.43299403155345362,13.828920062323046,0.014734459102957981,0.28175786352699861,0.68788447432741628,169.20864724101375,47.6758669369216,116.39600135903795,1287.71567284183,1650.9175292843972,35.765111119679318,40.040991858833884,6.1648666121331042,20.497000000000007,1.4700084659546171
C01,CORRECTED_R1,1,C_JOINT_RANK1,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.091965751102243268,67.657551106556582,0.52837222192163691,13.20509644876919,0.015163555853391462,0.27120715874048251,0.65958316641808423,169.1349545382219,45.87061046401184,111.55856886629913,1229.6587430369757,1576.4855679961224,34.152633622099707,38.235735385924123,6.1648666121331042,20.497000000000007,1.4700084659546171
C02,CORRECTED_R1,1,C_JOINT_RANK1,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.070336192114113461,63.517700048650887,0.75232737366900859,12.103531359049487,0.0955252717045421,0.18471976529485853,0.42186178849565548,155.33370333769821,28.6932052229208,65.52935390369494,677.23451674178511,868.249380438186,18.809561967898311,21.058330144833079,6.1648666121331042,20.497000000000007,1.4700084659546171
C03,CORRECTED_R1,1,C_JOINT_RANK1,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.070306222078876462,63.440275122731457,0.7570464054756546,12.049733128721769,0.0976824159460894,0.18475249104828215,0.42177467537964236,154.96323726143248,28.629844104955627,65.35956909171918,675.19682734237688,865.63695813125241,18.75296703057306,20.994969026867903,6.1648666121331042,20.497000000000007,1.4700084659546171
C04,CORRECTED_R1,1,EXACT_CROSS_DOMINANCE_PARTICIPANT;C_JOINT_RANK1,XD01,DOMINATOR,H05,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.07221332631958452,67.396556830017687,0.68659446022465143,12.505431548502393,0.035509414628851016,0.19958292469520714,0.4662395996524617,165.64077444417558,33.059070212347685,77.22828836297613,817.64044854829433,1048.2569853183261,22.709206787658712,25.424195134259961,6.1648666121331042,20.497000000000007,1.4700084659546171
C05,CORRECTED_R1,1,C_JOINT_RANK1,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.0745255561018371,67.572042510112041,0.47590397723782835,12.602894710244598,0.028886799370315748,0.21733365919792744,0.51427275149523777,166.77813662988058,36.246502707983844,85.769451213897383,920.14806861991076,1179.6770110511677,25.556261071299129,28.611627629896123,6.1648666121331042,20.497000000000007,1.4700084659546171
C06,CORRECTED_R1,2,EXACT_CROSS_DOMINANCE_PARTICIPANT,XD02,DOMINATED,H02,NO,NO,NO,NO,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.086862167752804,66.964676531279366,0.63858045277859221,12.673849920474915,0.022399705495982868,0.24133844942173949,0.57904879232681461,167.8922244909073,40.518849128602163,97.217789832522314,1057.5464493851998,1355.8287812630767,29.372373944174107,32.883974050514439,6.1648666121331042,20.497000000000007,1.4700084659546171
C07,CORRECTED_R1,1,C_JOINT_RANK1,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.079165936376546009,67.313016629473466,0.60140106010593242,12.742713708376002,0.026511805459522943,0.22338322638493963,0.53064954527373875,167.18601601890802,37.346551664747871,88.71718337656155,955.525570943341,1225.0327832606936,26.538838458853849,29.71167658666015,6.1648666121331042,20.497000000000007,1.4700084659546171
C08,CORRECTED_R1,2,EXACT_CROSS_DOMINANCE_PARTICIPANT,XD03,DOMINATED,H08,NO,NO,NO,NO,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.086594607144764676,67.627694561599114,0.50536612297732308,13.034809003231699,0.018219453240328243,0.25472574771030992,0.61520994055674683,168.61013737829143,42.949343315223366,103.7306325937636,1135.7109830685131,1456.0397218827093,31.543321531254534,35.31446823713565,6.1648666121331042,20.497000000000007,1.4700084659546171
C09,CORRECTED_R1,1,C_JOINT_RANK1,,,,NO,NO,NO,YES,NO,NOT_PERFORMED_NO_THRESHOLD,NOT_PERFORMED_NO_FROZEN_SELECTION_CRITERION,0.071401257219892517,65.05242871507167,0.73713940245186593,12.301983296838864,0.06592893450793702,0.1898535301772997,0.43793525200889427,160.41655255189778,30.45564880085011,70.252063368213385,733.91458665114965,940.91613673224322,20.383798456071126,22.820773722762389,6.1648666121331042,20.497000000000007,1.4700084659546171
