metric,value,unit_or_scale,source_phase,source_artifact,source_hash,source_field,interpretive_role
H_INTERNAL_NONDOMINATED_COUNT,9,count,CR1-COMP-02,06_manuscript/article_Q1/review/CR1_COMP_02_WITHIN_SET_EXACT_PARETO_AUDIT_v96z.json,6E5391E6D8C65AD04C91EB1A00EE16360D5EE189AF77B67B911CA5B31281CCED,aggregates.H.nondominated_count,within-set exact nondominance
C_INTERNAL_NONDOMINATED_COUNT,9,count,CR1-COMP-02,06_manuscript/article_Q1/review/CR1_COMP_02_WITHIN_SET_EXACT_PARETO_AUDIT_v96z.json,6E5391E6D8C65AD04C91EB1A00EE16360D5EE189AF77B67B911CA5B31281CCED,aggregates.C.nondominated_count,within-set exact nondominance
H_INTERNAL_DOMINATED_COUNT,0,count,CR1-COMP-02,06_manuscript/article_Q1/review/CR1_COMP_02_WITHIN_SET_EXACT_PARETO_AUDIT_v96z.json,6E5391E6D8C65AD04C91EB1A00EE16360D5EE189AF77B67B911CA5B31281CCED,aggregates.H.dominated_count,within-set exact dominance
C_INTERNAL_DOMINATED_COUNT,0,count,CR1-COMP-02,06_manuscript/article_Q1/review/CR1_COMP_02_WITHIN_SET_EXACT_PARETO_AUDIT_v96z.json,6E5391E6D8C65AD04C91EB1A00EE16360D5EE189AF77B67B911CA5B31281CCED,aggregates.C.dominated_count,within-set exact dominance
FULL_COVERAGE_C_OVER_H,0.1111111111111111,fraction=1/9,CR1-COMP-07,06_manuscript/article_Q1/review/CR1_COMP_07_SET_COVERAGE_v96z.json,8FA73A67DB5C510F3B0B0E4AEFD31570DC012D807A51608A58A6EE231B401D83,coverage[FULL_COVERAGE_C_OVER_H].coverage,asymmetric exact set coverage
FULL_COVERAGE_H_OVER_C,0.2222222222222222,fraction=2/9,CR1-COMP-07,06_manuscript/article_Q1/review/CR1_COMP_07_SET_COVERAGE_v96z.json,8FA73A67DB5C510F3B0B0E4AEFD31570DC012D807A51608A58A6EE231B401D83,coverage[FULL_COVERAGE_H_OVER_C].coverage,asymmetric exact set coverage
CORE_COVERAGE_NC_OVER_NH,0.1111111111111111,fraction=1/9,CR1-COMP-07,06_manuscript/article_Q1/review/CR1_COMP_07_SET_COVERAGE_v96z.json,8FA73A67DB5C510F3B0B0E4AEFD31570DC012D807A51608A58A6EE231B401D83,coverage[CORE_COVERAGE_NC_OVER_NH].coverage,asymmetric exact set coverage
CORE_COVERAGE_NH_OVER_NC,0.2222222222222222,fraction=2/9,CR1-COMP-07,06_manuscript/article_Q1/review/CR1_COMP_07_SET_COVERAGE_v96z.json,8FA73A67DB5C510F3B0B0E4AEFD31570DC012D807A51608A58A6EE231B401D83,coverage[CORE_COVERAGE_NH_OVER_NC].coverage,asymmetric exact set coverage
JOINT_RANK1_H,8,count,CR1-COMP-08,06_manuscript/article_Q1/review/CR1_COMP_08_JOINT_EXACT_NONDOMINATED_SORTING_v96z.json,59E39670F2E3627A752FE5017394D215C13F5D89770C2BE17924A01268317E54,rank_summary[pareto_rank=1].H_count,joint nondominated contribution
JOINT_RANK1_C,7,count,CR1-COMP-08,06_manuscript/article_Q1/review/CR1_COMP_08_JOINT_EXACT_NONDOMINATED_SORTING_v96z.json,59E39670F2E3627A752FE5017394D215C13F5D89770C2BE17924A01268317E54,rank_summary[pareto_rank=1].C_count,joint nondominated contribution
C_DOMINATES_H_PAIR_COUNT,1,count_of_81,CR1-COMP-05,06_manuscript/article_Q1/review/CR1_COMP_05_EXACT_CROSS_DOMINANCE_v96z.json,88EE7D86AFEE3A1C5E33D3BD2629995277481A2B65FDF03C83594888402D701A,global_counts.C_DOMINATES_H,exact cross-set dominance
H_DOMINATES_C_PAIR_COUNT,2,count_of_81,CR1-COMP-05,06_manuscript/article_Q1/review/CR1_COMP_05_EXACT_CROSS_DOMINANCE_v96z.json,88EE7D86AFEE3A1C5E33D3BD2629995277481A2B65FDF03C83594888402D701A,global_counts.H_DOMINATES_C,exact cross-set dominance
INCOMPARABLE_PAIR_COUNT,78,count_of_81,CR1-COMP-05,06_manuscript/article_Q1/review/CR1_COMP_05_EXACT_CROSS_DOMINANCE_v96z.json,88EE7D86AFEE3A1C5E33D3BD2629995277481A2B65FDF03C83594888402D701A,global_counts.INCOMPARABLE,exact cross-set incomparability
EXACT_EQUAL_PAIR_COUNT,0,count_of_81,CR1-COMP-05,06_manuscript/article_Q1/review/CR1_COMP_05_EXACT_CROSS_DOMINANCE_v96z.json,88EE7D86AFEE3A1C5E33D3BD2629995277481A2B65FDF03C83594888402D701A,global_counts.EXACT_EQUAL,exact cross-set equality
NEAR_TIE_OBJECTIVE_COUNT,0,count_of_243,CR1-COMP-06,06_manuscript/article_Q1/review/CR1_COMP_06_NUMERICAL_NEAR_TIE_SENSITIVITY_v96z.json,227F88AB15A30A812F222E3608BF9512401A8775AA1CFE9886E6288326F6E3FA,aggregates.near_tie_objective_count,diagnostic numerical sensitivity
NUMERICALLY_FRAGILE_DOMINANCE_COUNT,0,count,CR1-COMP-06,06_manuscript/article_Q1/review/CR1_COMP_06_NUMERICAL_NEAR_TIE_SENSITIVITY_v96z.json,227F88AB15A30A812F222E3608BF9512401A8775AA1CFE9886E6288326F6E3FA,aggregates.numerically_fragile_dominance_count,diagnostic numerical sensitivity
DOMINANCE_NUMERIC_SENSITIVITY,PASS_NO_FRAGILE_DOMINANCE,categorical,CR1-COMP-06,06_manuscript/article_Q1/review/CR1_COMP_06_NUMERICAL_NEAR_TIE_SENSITIVITY_v96z.json,227F88AB15A30A812F222E3608BF9512401A8775AA1CFE9886E6288326F6E3FA,aggregates.dominance_numeric_sensitivity,diagnostic numerical sensitivity
HV_STATUS,COMPUTED,categorical,CR1-COMP-11,06_manuscript/article_Q1/review/CR1_COMP_11_HYPERVOLUME_SENSITIVITY_v96z.json,233918EF96B1597260854CDDFCB7DDBA041A14BE7C06323BBB1DE8F02D244EC7,completion.hypervolume_computed=true,secondary conditional metric status
HV_H,0.9749820881940048,normalized_anchored_volume_r10,CR1-COMP-11,06_manuscript/article_Q1/review/CR1_COMP_11_HYPERVOLUME_SENSITIVITY_v96z.json,233918EF96B1597260854CDDFCB7DDBA041A14BE7C06323BBB1DE8F02D244EC7,primary_result.HV_H,secondary conditional metric
HV_C,1.0099628901072748,normalized_anchored_volume_r10,CR1-COMP-11,06_manuscript/article_Q1/review/CR1_COMP_11_HYPERVOLUME_SENSITIVITY_v96z.json,233918EF96B1597260854CDDFCB7DDBA041A14BE7C06323BBB1DE8F02D244EC7,primary_result.HV_C,secondary conditional metric
