"claim_id","target_section","claim_type","candidate_statement","support_status","source_phase","source_artifact","source_hash","quantitative_support","mandatory_qualifier","prohibited_extension","editorial_status"
"R-01","RESULTS","DIRECT_RESULT","All 9 historical R1 solutions reevaluated under corrected COST-E3D and all 9 CORRECTED_R1 solutions were internally nondominated within their respective finite sets.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","H=9/9; C=9/9","Within-set status only; neither set is a true/global Pareto front.","Convergence or global optimality","CANDIDATE_NOT_YET_INSERTED"
"R-02","RESULTS","DIRECT_RESULT","Of 81 cross-set comparisons, 78 (96.29629629629629%) were incomparable.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","78/81; 96.29629629629629%","Finite evaluated sets only.","Statistical inference","CANDIDATE_NOT_YET_INSERTED"
"R-03","RESULTS","DIRECT_RESULT","Exact cross-set dominance was sparse and bidirectional: C dominated H in 1 pair, whereas H dominated C in 2 pairs.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","C-to-H=1; H-to-C=2","Exact pairwise relations among the 18 evaluated solutions.","Uniform replacement","CANDIDATE_NOT_YET_INSERTED"
"R-04","RESULTS","DIRECT_RESULT","Exact set coverage was 1/9 (11.11111111111111%) for C over H and 2/9 (22.22222222222222%) for H over C.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","1/9=11.11111111111111%; 2/9=22.22222222222222%","Coverage is asymmetric and finite-set specific.","Global superiority","CANDIDATE_NOT_YET_INSERTED"
"R-05","RESULTS","DIRECT_RESULT","The joint nondominated set of the 18 evaluated solutions contained 8 H and 7 C solutions (15/18 total).","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","H=8/9; C=7/9; total=15/18","Joint Rank 1 is not a true/global Pareto front.","True Pareto front","CANDIDATE_NOT_YET_INSERTED"
"R-06","RESULTS","DIRECT_RESULT","C introduced no new observed marginal objective extremes; H retained all observed global marginal extremes.","SUPPORTED","CR1-COMP-09","06_manuscript/article_Q1/review/CR1_COMP_09_OBJECTIVE_SPACE_GEOMETRY_v96z.json","BD23627AAF81BD4231A3D84D819422D3CE93F84EDF0F33995A238DE3CE5651F9","NEW_EXTREMES_C=NONE","Observed marginal extremes of these finite sets.","Universal design bounds","CANDIDATE_NOT_YET_INSERTED"
"R-07","RESULTS","DIRECT_RESULT","C occupied narrower observed marginal intervals than H in f1, f2, and f3.","SUPPORTED","CR1-COMP-09","06_manuscript/article_Q1/review/CR1_COMP_09_OBJECTIVE_SPACE_GEOMETRY_v96z.json","BD23627AAF81BD4231A3D84D819422D3CE93F84EDF0F33995A238DE3CE5651F9","C ranges narrower for f1/f2/f3","Descriptive finite-set geometry.","Contraction of a true Pareto front","CANDIDATE_NOT_YET_INSERTED"
"R-08","RESULTS","DIRECT_RESULT","At the primary r10 reference, anchored hypervolume was 0.9749820881940048 for H and 1.0099628901072748 for C; C>H also held at the prespecified r5 and r20 references.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","HV_H=0.9749820881940048; HV_C=1.0099628901072748; C_GT_H at r5/r10/r20","Anchored, commonly normalized hypervolume under the three frozen reference points only.","Convergence, true-front proximity, or statistical superiority","CANDIDATE_NOT_YET_INSERTED"
"R-09","RESULTS","DIRECT_RESULT","Relative to H, C had a 33.807045718015644% lower median f1, a 3.1995544935821214% higher median f2, and a 3.8585642103238946% higher median f3.","SUPPORTED","CR1-COMP-04","06_manuscript/article_Q1/review/CR1_COMP_04_OBJECTIVE_SPACE_DESCRIPTIVE_v96z.json","CCA35B4E8983D075E9D3E4834949B2A2F330C5A8C0C5B4D1EA05E935AEE1D75D","f1=-33.807045718015644%; f2=+3.1995544935821214%; f3=+3.8585642103238946%","All objectives are minimized; these are descriptive medians of finite sets.","Global superiority or statistical significance","CANDIDATE_NOT_YET_INSERTED"
"R-10","RESULTS","DIRECT_RESULT","All 18 cases were compared under the common nominal maximum-horizon regime COMMON_TMAX_19P9H.","SUPPORTED","CR1-COMP-12","06_manuscript/article_Q1/review/CR1_COMP_12_COMMON_TERMINAL_REGIME_v96z.json","8D0646DF4EA5CDFBB458C6E4C0E58A85D5A1D7C49351731DC283126374147994","H TMAX=9; C TMAX=9; nominal horizon=19.9 h","Fixed maximum horizon, not free normal termination or identical temporal trajectories.","Identical trajectories","CANDIDATE_NOT_YET_INSERTED"
