"implication_id","section","source_claim_ids","implication","evidence_level","mandatory_qualifier","limitation_link","editorial_status"
"I-R-01","RESULTS","R-01","All 9 historical R1 solutions reevaluated under corrected COST-E3D and all 9 CORRECTED_R1 solutions were internally nondominated within their respective finite sets.","DIRECT_RESULT","Within-set status only; neither set is a true/global Pareto front.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-02","RESULTS","R-02","Of 81 cross-set comparisons, 78 (96.29629629629629%) were incomparable.","DIRECT_RESULT","Finite evaluated sets only.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-03","RESULTS","R-03","Exact cross-set dominance was sparse and bidirectional: C dominated H in 1 pair, whereas H dominated C in 2 pairs.","DIRECT_RESULT","Exact pairwise relations among the 18 evaluated solutions.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-04","RESULTS","R-04","Exact set coverage was 1/9 (11.11111111111111%) for C over H and 2/9 (22.22222222222222%) for H over C.","DIRECT_RESULT","Coverage is asymmetric and finite-set specific.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-05","RESULTS","R-05","The joint nondominated set of the 18 evaluated solutions contained 8 H and 7 C solutions (15/18 total).","DIRECT_RESULT","Joint Rank 1 is not a true/global Pareto front.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-06","RESULTS","R-06","C introduced no new observed marginal objective extremes; H retained all observed global marginal extremes.","DIRECT_RESULT","Observed marginal extremes of these finite sets.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-07","RESULTS","R-07","C occupied narrower observed marginal intervals than H in f1, f2, and f3.","DIRECT_RESULT","Descriptive finite-set geometry.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-08","RESULTS","R-08","At the primary r10 reference, anchored hypervolume was 0.9749820881940048 for H and 1.0099628901072748 for C; C>H also held at the prespecified r5 and r20 references.","DIRECT_RESULT","Anchored, commonly normalized hypervolume under the three frozen reference points only.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-09","RESULTS","R-09","Relative to H, C had a 33.807045718015644% lower median f1, a 3.1995544935821214% higher median f2, and a 3.8585642103238946% higher median f3.","DIRECT_RESULT","All objectives are minimized; these are descriptive medians of finite sets.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-10","RESULTS","R-10","All 18 cases were compared under the common nominal maximum-horizon regime COMMON_TMAX_19P9H.","DIRECT_RESULT","Fixed maximum horizon, not free normal termination or identical temporal trajectories.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-R-11","RESULTS","R-11","No exact cross-dominance relation was classified as numerically fragile under the frozen diagnostic.","DIRECT_RESULT","Diagnostic sensitivity only; exact dominance remained unchanged.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-01","DISCUSSION","D-01","Direct optimization under corrected COST-E3D did not uniformly replace the historical reevaluated trade-off set.","SUPPORTED_INTERPRETATION","Finite-set interpretation only.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-02","DISCUSSION","D-02","The combined evidence is consistent with trade-off restructuring rather than a uniform directional shift.","SUPPORTED_INTERPRETATION","Descriptive synthesis, not a formal classification or causal proof.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-03","DISCUSSION","D-03","C was concentrated within a narrower observed objective-space region without new marginal extremes, while 7 of its 9 solutions remained in joint Rank 1.","SUPPORTED_INTERPRETATION","Observed finite-set concentration.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-04","DISCUSSION","D-04","The greater anchored hypervolume of C indicates greater coverage of the objective space defined by the frozen common anchors and reference points.","SUPPORTED_INTERPRETATION","It does not measure distance to a true front or demonstrate convergence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-05","DISCUSSION","D-05","C's markedly lower median f1 was accompanied by moderately higher median f2 and f3, indicating an observed trade-off rather than global superiority.","SUPPORTED_INTERPRETATION","Finite-set central tendencies; no statistical inference.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-06","DISCUSSION","D-06","H retains scientific and design value because 8/9 H solutions remain in joint Rank 1, H locally dominates two C solutions, preserves the observed marginal extremes, and has greater reciprocal coverage.","SUPPORTED_INTERPRETATION","Historical R1 solutions were reevaluated, not reoptimized, under corrected COST-E3D.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-07","DISCUSSION","D-07","C contributes new compromise information because 7/9 C solutions remain in joint Rank 1, C04 dominates H05, and HV_C exceeds HV_H at r5/r10/r20.","SUPPORTED_INTERPRETATION","No single best solution or global superiority follows.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-08","DISCUSSION","D-08","The C-region concentration hypothesis is only partially supported and is interpreted as involving multiple trade-off mechanisms rather than one unique physical mechanism.","LIMITED_INFERENCE","Mechanistic attribution remains limited by persisted evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-09","DISCUSSION","D-09","The economic interpretation concerns specific modeled operating energy cost and must remain distinct from total modeled operating energy cost or comprehensive economic cost.","SUPPORTED_INTERPRETATION","Excludes CAPEX, maintenance, labor, TCO, and commercial total cost.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-10","DISCUSSION","D-10","The environmental interpretation concerns specific modeled operational CO2 as implemented, not life-cycle environmental impact.","SUPPORTED_INTERPRETATION","No life-cycle or total-impact interpretation.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-D-11","DISCUSSION","D-11","The common TMAX regime removes a trivial nominal-horizon difference as an H-versus-C explanation, but it does not imply identical temporal trajectories.","SUPPORTED_INTERPRETATION","Common fixed nominal horizon only.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-L-01","LIMITATIONS","L-01","Only one CORRECTED_R1 run is available (seed 61001); between-seed variability is not established.","MANDATORY_LIMITATION","No optimizer-performance distribution.","L-01","CANDIDATE_NOT_YET_INSERTED"
"I-L-02","LIMITATIONS","L-02","CORRECTED_R1 stopped after reaching MaxGenerations=50; this is not evidence of convergence.","MANDATORY_LIMITATION","Convergence remains unestablished.","L-02","CANDIDATE_NOT_YET_INSERTED"
"I-L-03","LIMITATIONS","L-03","The compared sets are finite and no independent true/global Pareto front is available.","MANDATORY_LIMITATION","No global optimality claim.","L-03","CANDIDATE_NOT_YET_INSERTED"
"I-L-04","LIMITATIONS","L-04","The nine H and nine C points are not independent optimizer replicates and cannot support statistical performance inference.","MANDATORY_LIMITATION","No significance or configuration-superiority claim.","L-04","CANDIDATE_NOT_YET_INSERTED"
"I-L-05","LIMITATIONS","L-05","All 18 cases share COMMON_TMAX_19P9H, so results concern a fixed maximum horizon rather than free normal termination.","MANDATORY_LIMITATION","No identical-trajectory inference.","L-05","CANDIDATE_NOT_YET_INSERTED"
"I-L-06","LIMITATIONS","L-06","Irradiacion is not available in the persisted validated evidence, preventing direct quantitative attribution to Irradiacion.","MANDATORY_LIMITATION","Do not reconstruct Irradiacion.","L-06","CANDIDATE_NOT_YET_INSERTED"
"I-L-07","LIMITATIONS","L-07","For C, total_CO2_kg is available but persisted CO2_LPG_kg and CO2_electricity_kg components are not.","MANDATORY_LIMITATION","No C component-level attribution.","L-07","CANDIDATE_NOT_YET_INSERTED"
"I-L-08","LIMITATIONS","L-08","f2 is modeled operating energy cost; it excludes CAPEX, maintenance, labor, TCO, and commercial total cost.","MANDATORY_LIMITATION","Not comprehensive economic cost.","L-08","CANDIDATE_NOT_YET_INSERTED"
"I-L-09","LIMITATIONS","L-09","f3 is modeled operational CO2 as implemented, not a life-cycle carbon footprint or total environmental impact.","MANDATORY_LIMITATION","Not life-cycle impact.","L-09","CANDIDATE_NOT_YET_INSERTED"
"I-L-10","LIMITATIONS","L-10","The CO2/CO2e label requires editorial reconciliation before final manuscript insertion.","MANDATORY_LIMITATION","Editorial nomenclature remains pending.","L-10","CANDIDATE_NOT_YET_INSERTED"
"I-L-11","LIMITATIONS","L-11","H consists of historical solutions generated under an earlier formulation and later reevaluated, not directly reoptimized, under corrected COST-E3D.","MANDATORY_LIMITATION","Do not call H a corrected Pareto front.","L-11","CANDIDATE_NOT_YET_INSERTED"
"I-C-01","CONCLUSIONS","C-01","Direct optimization under corrected COST-E3D restructures the observed finite-set trade-offs.","SUPPORTED_INTERPRETATION","Applies only to the finite evaluated evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-C-02","CONCLUSIONS","C-02","The evidence does not support uniform replacement of H by C.","SUPPORTED_INTERPRETATION","Applies only to the finite evaluated evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-C-03","CONCLUSIONS","C-03","Both H and C contribute solutions to the joint nondominated set of the 18 evaluated solutions.","SUPPORTED_INTERPRETATION","Applies only to the finite evaluated evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-C-04","CONCLUSIONS","C-04","C has greater anchored hypervolume under all three frozen reference points.","SUPPORTED_INTERPRETATION","Applies only to the finite evaluated evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-C-05","CONCLUSIONS","C-05","H retains the observed marginal extremes and substantial joint Rank 1 contributions.","SUPPORTED_INTERPRETATION","Applies only to the finite evaluated evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-C-06","CONCLUSIONS","C-06","The principal comparative interpretation is trade-off restructuring, not global superiority.","SUPPORTED_INTERPRETATION","Applies only to the finite evaluated evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
"I-C-07","CONCLUSIONS","C-07","The finite H-versus-C comparison is characterized, while convergence, global optimality, between-seed robustness, and statistical superiority remain unestablished.","SUPPORTED_INTERPRETATION","Applies only to the finite evaluated evidence.","L-01;L-03;L-04","CANDIDATE_NOT_YET_INSERTED"
