id,check,pass,evidence
CINT-01,MASTER exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01.md
CINT-02,Source Conclusions draft exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\SEC_CONCLUSIONS_CONSOLIDATED_DRAFT_v96z.md
CINT-03,Source Conclusions report exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\review\SEC_CONCLUSIONS_CONSOLIDATED_DRAFT_v96z_report.md
CINT-04,Source Conclusions checks file exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\review\SEC_CONCLUSIONS_CONSOLIDATED_DRAFT_v96z_Tchecks.csv
CINT-05,Source Conclusions PASS verified,1,PASS verified from report and section.
CINT-06,Locked Section 7 exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\locked_sections\RESULTS_SECTION_07_v01_1_LOCKED.md
CINT-07,After-Discussion audit report exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\review\MASTER_MANUSCRIPT_CONSISTENCY_AFTER_DISCUSSION_v96z_report.md
CINT-08,Discussion integration report exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\review\INTEGRATE_DISCUSSION_CONSOLIDATED_DRAFT_INTO_MASTER_v96z_report.md
CINT-09,Limitations integration report exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\review\INTEGRATE_LIMITATIONS_CONSOLIDATED_BLOCK_INTO_MASTER_v96z_report.md
CINT-10,MASTER backup created,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01_BEFORE_CONCLUSIONS_BLOCK_v96z_20260703_140215.md
CINT-11,MASTER headings diagnostic report created,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\review\MASTER_HEADINGS_DETECTED_v96z_conclusions_b.txt
CINT-12,Integration action valid,1,MASTER_UPDATED
CINT-13,Conclusions block key present once,1,Key count = 1.
CINT-14,Conclusions title present,1,Title count = 1.
CINT-15,No excessive Conclusions duplication,1,Key count = 1.
CINT-16,Section 7 preserved when Section 7 is detectable,1,Section 7 comparison flexible.
CINT-17,Conclusions appears after Discussion/Limitations when detectable,1,Conclusions after Discussion/Limitations or no such heading detected.
CINT-18,Conclusions appears before References when detectable,1,Conclusions before References or no References heading detected.
CINT-19,Hybrid energy-saving conclusion preserved,1,Hybrid conclusion.
CINT-20,R1_solution_7 conclusion preserved,1,R1_solution_7.
CINT-21,R1_solution_3 conclusion preserved,1,R1_solution_3.
CINT-22,R1_solution_9 conclusion preserved,1,R1_solution_9.
CINT-23,H2 historical reference preserved,1,H2.
CINT-24,H2 not-new-R1 caveat preserved,1,H2 caveat.
CINT-25,Computed nondominated set wording preserved,1,Computed nondominated set.
CINT-26,2-SAH conclusion preserved,1,2-SAH.
CINT-27,Collector limitation preserved,1,Collector caveat.
CINT-28,Hybrid vs gas-LPG conclusion preserved,1,Hybrid baseline.
CINT-29,Solar/fuel substitution conclusion preserved,1,Fuel substitution.
CINT-30,Cost/CO2 conditionality preserved,1,Cost/CO2 conditionality.
CINT-31,Future seed replications preserved,1,Future seeds.
CINT-32,Future coupled collector preserved,1,Future collector.
CINT-33,Future fan-power preserved,1,Future fan power.
CINT-34,Future pressure-drop preserved,1,Future pressure drop.
CINT-35,Future final factors preserved,1,Future factors.
CINT-36,No prohibited global optimum phrase introduced,1,No prohibited wording.
CINT-37,No prohibited global Pareto front phrase introduced,1,No prohibited wording.
CINT-38,No statistical robustness claim introduced,1,No robustness overclaim.
CINT-39,Complete convergence caveat preserved,1,Convergence caveat.
CINT-40,Complete equipment optimality caveat preserved,1,Equipment caveat.
CINT-41,No final CO2 claim introduced,1,No final CO2 claim.
CINT-42,No final cost claim introduced,1,No final cost claim.
CINT-43,No GA executed,1,Text integration only.
CINT-44,No model executed,1,Text integration only.
