id,check,pass,evidence
J01,Master file exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01.md
J02,SEC_07_01 file exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\SEC_07_01_formal_R1_run_v96z.md
J03,Backup created,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01_BACKUP_before_SEC0701_20260702_004514.md
J04,Section 7.1 integrated status present,1,7.1 status marker.
J05,Computed nondominated set wording present,1,Avoids global Pareto claim.
J06,Global optimality caveat present,1,Global optimum caveat.
J07,Statistical robustness caveat present,1,Seed robustness caveat.
J08,R1-7 anchor present,1,R1-7 numerical anchor.
J09,R1-3 anchor present,1,R1-3 numerical anchor.
J10,H2 anchor present,1,H2 numerical anchor.
J11,R1-9 anchor present,1,R1-9 numerical anchor.
J12,No GA executed,1,Text integration only.
J13,No model executed,1,Text integration only.
