id,check,pass,evidence
FCRC-PRE-01,MASTER exists,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01.md
FCRC-PRE-02,MASTER readable,1,chars=62198
FCRC-PRE-03,Route-B order valid before cleanup,1,7=22387 | D=42141 | 8=46461 | 9=49996 | 10=53317 | 11=55158 | 12=57492
FCRC-PRE-04,Required target sections detected,1,all detected
FCRC-DRAFT-01,Computed nondominated set wording cleanup recorded,1,before=3 after=3 threshold<=10 reduced=0
FCRC-DRAFT-02,Figure references inserted,1,figureRefs=0 | figureRefsLiteral=3
FCRC-DRAFT-03,Figure 1 system schematic callout scan,1,Figure1=1 systemSchematic=0
FCRC-DRAFT-04,Figure 2 optimization workflow callout scan,1,Figure2=1 workflow=1
FCRC-DRAFT-05,Figure 3 selected candidates/trade-off callout scan,1,Figure3=1 R1_solution_7=1 Q_aux=1
FCRC-POST-01,Route-B order valid after cleanup,1,7=22387 | D=42141 | 8=46461 | 9=49996 | 10=53317 | 11=55158 | 12=57492
FCRC-POST-02,No audit-trigger global Pareto wording introduced,1,count=0
FCRC-POST-03,No GA executed,1,Text-only manuscript integration
FCRC-POST-04,No drying model executed,1,Text-only manuscript integration
FCRC-POST-05,No figure files generated or invented,1,Only textual figure callouts inserted
FCRC-WRITE-01,Backup created before writing,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01_BEFORE_FIGCALLOUTS_REDUNDANCY_CLEANUP_v96z_20260706_162640.md
FCRC-WRITE-02,MASTER updated,1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01.md
