id,check,pass,evidence
FX2B-PRE-01,"MASTER actual exists",1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01.md
FX2B-PRE-02,"Pre-fix1 backup exists",1,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\draft_sections\MASTER_manuscript_v01_BEFORE_SECTION_ORDER_PATCH_FIX1_v96z_20260703_161840.md
FX2B-PRE-03,"MASTER actual readable",1,chars=39298
FX2B-PRE-04,"Pre-fix1 backup readable",1,chars=40147
FX2B-PRE-05,"Discussion key exists exactly once in source",1,count=1
FX2B-PRE-06,"Limitations key exists exactly once in source",1,count=1
FX2B-PRE-07,"Conclusions key exists exactly once in source",1,count=1
FX2B-PRE-08,"# 7 Results and discussion exists in source",1,line=231 char=4186 level=1 raw=# 7. Results and discussion
FX2B-PRE-09,"# 8 Limitations exists in source",1,line=416 char=23641 level=1 raw=# 8. Limitations
FX2B-PRE-10,"# 9 Conclusions exists in source",1,line=431 char=24080 level=1 raw=# 9. Conclusions
FX2B-PRE-11,"# 10 Nomenclature exists in source",1,line=445 char=24563 level=1 raw=# 10. Nomenclature
FX2B-PRE-12,"# 11 References exists in source after normalization",1,line=464 char=24975 level=1 raw=# 11. References
FX2B-PRE-13,"# 12 Supplementary material exists in source",1,line=478 char=25238 level=1 raw=# 12. Supplementary material
FX2B-PRE-14,"Discussion developed block extracted",1,start_line=555 start_char=32989 end_char=37318 heading=### Discussion
FX2B-PRE-15,"Limitations developed block extracted",1,start_line=540 start_char=29969 end_char=32988 heading=### Limitations
FX2B-PRE-16,"Conclusions developed block extracted",1,start_line=570 start_char=37319 end_char=40215 heading=### Conclusions
FX2B-PRE-17,"After extraction, canonical anchor headings remain unique",1,7=1 8=1 9=1 10=1 11=1 12=1
FX2B-PRE-18,"Canonical anchors are in increasing order before reconstruction",1,7=4186 8=23641 9=24080 10=24563 11=24975 12=25238
