check,pass
current_equations_only,True
historical_cost_emissions_excluded,True
all_unique_designs_evaluated_before_filtering,True
duplicates_documented,True
historical_timing_faithful,True
search_bounds_not_used_as_physical_invalidity,True
T_C_design_spaces_explicit,True
basis_and_control_not_conflated,True
gasLP_contextual_only,True
no_convergence_claim,True
no_global_pareto_claim,True
no_optimizer_performance_claim,True
HB200_checkpoint_not_gen316_front,True
306_316_not_used,True
historical_cost_discrepancy_excluded,True
timing_prespecified,True
no_posthoc_best_label,True
objectives_reproduce_from_decomposition,True
