THESIS_ID,SOURCE_ROW,HISTORICAL_ND,current_rank,CURRENT_ND,STATUS_TRANSITION
T001,1,NO,3,NO,DOMINATED_IN_BOTH
T002,2,NO,14,NO,DOMINATED_IN_BOTH
T003,3,YES,2,NO,LOST_ND_STATUS
T004,4,YES,1,YES,PERSISTENT_ND
T005,5,NO,3,NO,DOMINATED_IN_BOTH
T006,6,YES,11,NO,LOST_ND_STATUS
T007,7,NO,12,NO,DOMINATED_IN_BOTH
T008,8,NO,12,NO,DOMINATED_IN_BOTH
T009,9,NO,1,YES,GAINED_ND_STATUS
T010,10,NO,2,NO,DOMINATED_IN_BOTH
T011,11,NO,2,NO,DOMINATED_IN_BOTH
T012,13,NO,1,YES,GAINED_ND_STATUS
T013,14,NO,10,NO,DOMINATED_IN_BOTH
T014,15,YES,10,NO,LOST_ND_STATUS
T015,16,YES,1,YES,PERSISTENT_ND
T016,17,NO,15,NO,DOMINATED_IN_BOTH
T017,18,YES,2,NO,LOST_ND_STATUS
T018,19,YES,3,NO,LOST_ND_STATUS
T019,21,NO,4,NO,DOMINATED_IN_BOTH
T020,22,NO,13,NO,DOMINATED_IN_BOTH
T021,23,YES,4,NO,LOST_ND_STATUS
T022,24,NO,8,NO,DOMINATED_IN_BOTH
T023,25,NO,3,NO,DOMINATED_IN_BOTH
T024,27,NO,4,NO,DOMINATED_IN_BOTH
T025,28,YES,1,YES,PERSISTENT_ND
T026,29,NO,3,NO,DOMINATED_IN_BOTH
T027,30,YES,3,NO,LOST_ND_STATUS
T028,31,YES,1,YES,PERSISTENT_ND
T029,34,YES,5,NO,LOST_ND_STATUS
T030,35,YES,2,NO,LOST_ND_STATUS
T031,36,NO,9,NO,DOMINATED_IN_BOTH
T032,37,NO,2,NO,DOMINATED_IN_BOTH
T033,38,NO,3,NO,DOMINATED_IN_BOTH
T034,39,NO,3,NO,DOMINATED_IN_BOTH
T035,40,YES,1,YES,PERSISTENT_ND
T036,41,YES,1,YES,PERSISTENT_ND
T037,42,NO,4,NO,DOMINATED_IN_BOTH
T038,43,NO,1,YES,GAINED_ND_STATUS
T039,44,NO,10,NO,DOMINATED_IN_BOTH
T040,45,NO,2,NO,DOMINATED_IN_BOTH
T041,47,NO,6,NO,DOMINATED_IN_BOTH
T042,48,NO,2,NO,DOMINATED_IN_BOTH
T043,49,NO,4,NO,DOMINATED_IN_BOTH
T044,50,YES,7,NO,LOST_ND_STATUS
