id,check,pass,evidence
PF01,Minrep design loaded,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability\MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.mat"
PF02,Base runner exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m.m"
PF03,Base runner has gamultiobj,1,"gamultiobj found."
PF04,Three replicates loaded,1,"nReplicates=3"
PF05,Seeds unique,1,"Seeds unique."
PF06,Same population size,1,"PopulationSize=24"
PF07,Same max generations,1,"MaxGenerations=50"
PF08,Total runtime estimated,1,"ExpectedRuntime_h=21.3903"
EX01,Execution requested,1,"confirm_execute=true."
EX02,All replicates attempted,1,"attempted=3"
EX03,All replicates OK,1,"ok=3/3"
EX04,Outputs saved,1,"outputs=3"
EX05,Seed-controlled calls completed,1,"rng(seed,'twister') called before every replicate."
