id,check,pass,evidence
GA01,Original formal runner exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m.m"
GA02,Seed-aware formal clone exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m_seedaware_v96z_rngfix.m"
GA03,Original has gamultiobj,1,"gamultiobj found in original."
GA04,Seed-aware clone has gamultiobj,1,"gamultiobj found in seed-aware clone."
GA05,Seed-aware clone has optimoptions,1,"optimoptions/gamultiobj found."
GA06,Original fixed seed documented,1,"rng(614960,'twister') detected in original."
GA07,Seed-aware external branch present,1,"rngSeed + EXTERNAL_SEED_APPLIED present."
GA08,Seed metadata present,1,"rngSeed_v96z and rngControl_v96z present."
GA09,Formal popSize detected,1,"24"
GA10,Formal maxGen detected,1,"50"
GA11,Smoke popSize detected,1,"8"
GA12,Smoke maxGen detected,1,"5"
GA13,Preview call did not execute GA,1,"OK "
GA14,opts saved by formal clone,1,"save list contains opts."
GA15,X/F saved by formal clone,1,"save list contains X and F."
GA16,output/population/scores saved,1,"save list contains output, population, scores."
GA17,lb/ub saved,1,"save list contains lb and ub."
GA18,Bounds available,0,"lb/ub extracted."
GA19,No GA executed by audit,1,"No gamultiobj call from this audit."
GA20,Protected original not modified,1,"Audit read-only for v96m."
