id,check,pass,evidence
F2_01,Original formal runner exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m.m"
F2_02,Seed-aware formal clone exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m_seedaware_v96z_rngfix.m"
F2_03,Original has gamultiobj,1,"gamultiobj found in original."
F2_04,Seed-aware has gamultiobj,1,"gamultiobj found in seed-aware clone."
F2_05,Seed-aware has optimoptions,1,"optimoptions/gamultiobj found."
F2_06,Original fixed seed documented,1,"rng(614960,'twister') detected in original."
F2_07,Seed-aware external branch present,1,"rngSeed + EXTERNAL_SEED_APPLIED present."
F2_08,Seed metadata present,1,"rngSeed_v96z and rngControl_v96z present."
F2_09,Formal popSize detected,1,"24"
F2_10,Formal maxGen detected,1,"50"
F2_11,Smoke popSize detected,1,"8"
F2_12,Smoke maxGen detected,1,"5"
F2_13,lb extracted,0,""
F2_14,ub extracted,0,""
F2_15,Bounds table complete,0,"Tbounds finite."
F2_16,optimoptions block extracted,1,"optimoptions block captured."
F2_17,opts saved by formal clone,1,"save list contains opts."
F2_18,X/F saved by formal clone,1,"save list contains X and F."
F2_19,output/population/scores saved,1,"save list contains output, population, scores."
F2_20,lb/ub saved,1,"save list contains lb and ub."
F2_21,No GA executed by audit,1,"Source-only audit; no gamultiobj call."
F2_22,Protected original not modified,1,"Audit read-only for v96m."
