file_name,file_path,line_number,pattern,line_text,context_before,context_after
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,1,irradiance,"function report = audit_static_hybrid_irradiance(project_root)","function report = audit_static_hybrid_irradiance(project_root)","%AUDIT_STATIC_HYBRID_IRRADIANCE Static scan for irradiance nulling. | % | % Scans: | %   opt_tunel_mod2, run_opt_GA, opt_fun, opt_fun2, opt_fun3 and wrappers."
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,2,irradiance,"%AUDIT_STATIC_HYBRID_IRRADIANCE Static scan for irradiance nulling.","function report = audit_static_hybrid_irradiance(project_root)","% | % Scans: | %   opt_tunel_mod2, run_opt_GA, opt_fun, opt_fun2, opt_fun3 and wrappers. | %"
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,7,irradiance,"% This is diagnostic only. If hybrid irradiance is actually corrected, that","% | % Scans: | %   opt_tunel_mod2, run_opt_GA, opt_fun, opt_fun2, opt_fun3 and wrappers. | %","% must be registered as a type D computational correction. |  | if nargin < 1 || isempty(project_root) | project_root = pwd;"
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,15,irradiance,"report.created_by_function = ""audit_static_hybrid_irradiance"";","project_root = pwd; | end |  | report.created_at = datetime(""now"");","report.mode = ""STATIC_ANALYSIS_ONLY""; |  | activeDir = fullfile(project_root,'03_original_model','01_active_original'); | wrappersDir = fullfile(project_root,'02_src_limpio','wrappers');"
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,22,Irradiacion,"patterns = [""I(i)=0"", ""I(i) = 0"", ""I = 0"", ""Irradiacion = 0"", ""I_effective = 0""];","activeDir = fullfile(project_root,'03_original_model','01_active_original'); | wrappersDir = fullfile(project_root,'02_src_limpio','wrappers'); |  | targetNames = [""opt_tunel_mod2"", ""run_opt_GA"", ""opt_fun"", ""opt_fun2"", ""opt_fun3""];"," | report.hits = {}; |  | for k = 1:numel(targetNames)"
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,22,irradiacion,"patterns = [""I(i)=0"", ""I(i) = 0"", ""I = 0"", ""Irradiacion = 0"", ""I_effective = 0""];","activeDir = fullfile(project_root,'03_original_model','01_active_original'); | wrappersDir = fullfile(project_root,'02_src_limpio','wrappers'); |  | targetNames = [""opt_tunel_mod2"", ""run_opt_GA"", ""opt_fun"", ""opt_fun2"", ""opt_fun3""];"," | report.hits = {}; |  | for k = 1:numel(targetNames)"
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,22,radiacion,"patterns = [""I(i)=0"", ""I(i) = 0"", ""I = 0"", ""Irradiacion = 0"", ""I_effective = 0""];","activeDir = fullfile(project_root,'03_original_model','01_active_original'); | wrappersDir = fullfile(project_root,'02_src_limpio','wrappers'); |  | targetNames = [""opt_tunel_mod2"", ""run_opt_GA"", ""opt_fun"", ""opt_fun2"", ""opt_fun3""];"," | report.hits = {}; |  | for k = 1:numel(targetNames)"
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,46,irradiance,"report.status = ""NO_STATIC_IRRADIANCE_NULLING_PATTERN_FOUND"";","end | end |  | if isempty(report.hits)","else | report.status = ""STATIC_IRRADIANCE_NULLING_PATTERN_FOUND""; | end | "
audit_static_hybrid_irradiance.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_hybrid_irradiance.m,48,irradiance,"report.status = ""STATIC_IRRADIANCE_NULLING_PATTERN_FOUND"";"," | if isempty(report.hits) | report.status = ""NO_STATIC_IRRADIANCE_NULLING_PATTERN_FOUND""; | else","end |  | logsDir = fullfile(project_root,""06_outputs"",""logs""); | if ~exist(logsDir,""dir""), mkdir(logsDir); end"
audit_static_interface_tunel.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\audit\audit_static_interface_tunel.m,5,G ,"report.note=""Inspect opt_tunel_mod2 and tunel_mod2. Full .mlx static parsing may require MATLAB local unzip/text review."";","function report = audit_static_interface_tunel(project_root) | %AUDIT_STATIC_INTERFACE_TUNEL Static report placeholder for tunel interface. | if nargin<1, project_root=pwd; end | report.mode=""STATIC_ANALYSIS_ONLY"";","report.required_signature_nargin=14; | report.output_file=fullfile(project_root,""06_outputs"",""logs"",""AUD_STATIC_INTERFACE_TUNEL_LOCAL.txt""); | if ~exist(fileparts(report.output_file),""dir""), mkdir(fileparts(report.output_file)); end | fid=fopen(report.output_file,""w""); fprintf(fid,""AUD_STATIC_INTERFACE_TUNEL\nmode: %s\nrequired_signature_nargin: 14\n"",report.mode); fclose(fid);"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,35,Irradiacion,"out_Irradiacion = [];","out_mode = {}; | out_I_rule = {}; | out_aux_rule = {}; | out_I_effective = [];","out_Q_aux_tot = []; | out_dry_time = []; | out_M = []; | out_MR = [];"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,35,irradiacion,"out_Irradiacion = [];","out_mode = {}; | out_I_rule = {}; | out_aux_rule = {}; | out_I_effective = [];","out_Q_aux_tot = []; | out_dry_time = []; | out_M = []; | out_MR = [];"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,35,radiacion,"out_Irradiacion = [];","out_mode = {}; | out_I_rule = {}; | out_aux_rule = {}; | out_I_effective = [];","out_Q_aux_tot = []; | out_dry_time = []; | out_M = []; | out_MR = [];"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,62,Irradiacion,"[Q_aux_tot, dry_time, M, MR, Irradiacion, irr_diag] = ..."," | for k = 1:numel(modes) | mode_k = modes{k}; | ","opt_tunel_mod2_v10_energy_mode_corrected( ... | m_max, T_min, r_div2, t_rec_ini, ... | W0, m_i, Mi, mwi, md, m_f, Mf, mwf, M_des, mode_k); | "
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,62,irradiacion,"[Q_aux_tot, dry_time, M, MR, Irradiacion, irr_diag] = ..."," | for k = 1:numel(modes) | mode_k = modes{k}; | ","opt_tunel_mod2_v10_energy_mode_corrected( ... | m_max, T_min, r_div2, t_rec_ini, ... | W0, m_i, Mi, mwi, md, m_f, Mf, mwf, M_des, mode_k); | "
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,62,radiacion,"[Q_aux_tot, dry_time, M, MR, Irradiacion, irr_diag] = ..."," | for k = 1:numel(modes) | mode_k = modes{k}; | ","opt_tunel_mod2_v10_energy_mode_corrected( ... | m_max, T_min, r_div2, t_rec_ini, ... | W0, m_i, Mi, mwi, md, m_f, Mf, mwf, M_des, mode_k); | "
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,82,Irradiacion,"out_Irradiacion(end+1,1) = Irradiacion;","else | out_aux_rule{end+1,1} = 'aux_rule_not_reported'; | end | out_I_effective(end+1,1) = irr_diag.I_effective_sum;","out_Q_aux_tot(end+1,1) = Q_aux_tot; | out_dry_time(end+1,1) = dry_time; | out_M(end+1,1) = M; | out_MR(end+1,1) = MR;"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,82,irradiacion,"out_Irradiacion(end+1,1) = Irradiacion;","else | out_aux_rule{end+1,1} = 'aux_rule_not_reported'; | end | out_I_effective(end+1,1) = irr_diag.I_effective_sum;","out_Q_aux_tot(end+1,1) = Q_aux_tot; | out_dry_time(end+1,1) = dry_time; | out_M(end+1,1) = M; | out_MR(end+1,1) = MR;"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,82,radiacion,"out_Irradiacion(end+1,1) = Irradiacion;","else | out_aux_rule{end+1,1} = 'aux_rule_not_reported'; | end | out_I_effective(end+1,1) = irr_diag.I_effective_sum;","out_Q_aux_tot(end+1,1) = Q_aux_tot; | out_dry_time(end+1,1) = dry_time; | out_M(end+1,1) = M; | out_MR(end+1,1) = MR;"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,92,Irradiacion,"out_Irradiacion, out_Q_aux_tot, out_dry_time, out_M, out_MR, out_status, ...","end | end |  | T = table(out_case_id, out_mode, out_I_rule, out_aux_rule, out_I_effective, ...","'VariableNames', {'case_id','mode','I_effective_rule','aux_rule','I_effective', ... | 'Irradiacion','Q_aux_tot','dry_time','M','MR','drying_status'} ); |  | csvFile = fullfile(tabDir,'COMPARE_OPERATION_MODES_v67.csv');"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,92,irradiacion,"out_Irradiacion, out_Q_aux_tot, out_dry_time, out_M, out_MR, out_status, ...","end | end |  | T = table(out_case_id, out_mode, out_I_rule, out_aux_rule, out_I_effective, ...","'VariableNames', {'case_id','mode','I_effective_rule','aux_rule','I_effective', ... | 'Irradiacion','Q_aux_tot','dry_time','M','MR','drying_status'} ); |  | csvFile = fullfile(tabDir,'COMPARE_OPERATION_MODES_v67.csv');"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,92,radiacion,"out_Irradiacion, out_Q_aux_tot, out_dry_time, out_M, out_MR, out_status, ...","end | end |  | T = table(out_case_id, out_mode, out_I_rule, out_aux_rule, out_I_effective, ...","'VariableNames', {'case_id','mode','I_effective_rule','aux_rule','I_effective', ... | 'Irradiacion','Q_aux_tot','dry_time','M','MR','drying_status'} ); |  | csvFile = fullfile(tabDir,'COMPARE_OPERATION_MODES_v67.csv');"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,94,Irradiacion,"'Irradiacion','Q_aux_tot','dry_time','M','MR','drying_status'} );"," | T = table(out_case_id, out_mode, out_I_rule, out_aux_rule, out_I_effective, ... | out_Irradiacion, out_Q_aux_tot, out_dry_time, out_M, out_MR, out_status, ... | 'VariableNames', {'case_id','mode','I_effective_rule','aux_rule','I_effective', ..."," | csvFile = fullfile(tabDir,'COMPARE_OPERATION_MODES_v67.csv'); | matFile = fullfile(compDir,'COMPARE_OPERATION_MODES_v67.mat'); | txtFile = fullfile(logDir,'COMPARE_OPERATION_MODES_v67.txt');"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,94,irradiacion,"'Irradiacion','Q_aux_tot','dry_time','M','MR','drying_status'} );"," | T = table(out_case_id, out_mode, out_I_rule, out_aux_rule, out_I_effective, ... | out_Irradiacion, out_Q_aux_tot, out_dry_time, out_M, out_MR, out_status, ... | 'VariableNames', {'case_id','mode','I_effective_rule','aux_rule','I_effective', ..."," | csvFile = fullfile(tabDir,'COMPARE_OPERATION_MODES_v67.csv'); | matFile = fullfile(compDir,'COMPARE_OPERATION_MODES_v67.mat'); | txtFile = fullfile(logDir,'COMPARE_OPERATION_MODES_v67.txt');"
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,94,radiacion,"'Irradiacion','Q_aux_tot','dry_time','M','MR','drying_status'} );"," | T = table(out_case_id, out_mode, out_I_rule, out_aux_rule, out_I_effective, ... | out_Irradiacion, out_Q_aux_tot, out_dry_time, out_M, out_MR, out_status, ... | 'VariableNames', {'case_id','mode','I_effective_rule','aux_rule','I_effective', ..."," | csvFile = fullfile(tabDir,'COMPARE_OPERATION_MODES_v67.csv'); | matFile = fullfile(compDir,'COMPARE_OPERATION_MODES_v67.mat'); | txtFile = fullfile(logDir,'COMPARE_OPERATION_MODES_v67.txt');"
