file_name,file_path,line_number,pattern,line_text,context_before,context_after
compare_operation_modes.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\comparison\compare_operation_modes.m,23,0.5,"[0; 0.5], ...","cases = table( ... | {'case_01_validated'; 'case_02_robustness'}, ... | [0.12; 0.11], ... | [50; 55], ...","[0; 3], ... | [0.85; 200], ... | 'VariableNames', {'case_id','m_max','T_min','r_div2','t_rec_ini','W0'} ); | "
setup_v05_paths.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\main\setup_v05_paths.m,2,0.5,"%SETUP_V05_PATHS Configure the controlled v0.5/v0.6/v0.7/v0.8 MATLAB path.","function rootDir = setup_v05_paths()","% | % This script intentionally avoids genpath(rootDir), because that could add: | %   - 99_legacy_do_not_run | %   - 00_original_zip_no_tocar"
capture_productive_ga_outputs_v614.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\capture_productive_ga_outputs_v614.m,18,0.5,"0.11 55 0.50 3","cfg = productive_run_config_v69(); |  | %% Synthetic final population and scores | final_population = [","0.12 60 0.40 2 | 0.13 65 0.70 5 | 0.10 58 0.30 1 | ];"
implement_tmax_endpoint_correction_clone_v95j.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\implement_tmax_endpoint_correction_clone_v95j.m,319,0.5,"reduction_Q_aux_pct > 1 && abs(delta_dry_time) <= 0.5 && abs(delta_MR) <= 0.02, ..."," | checks{end+1,1} = local_check_row_v95j( ... | ""V06"", ... | ""Comparative physical sanity"", ...","sprintf(""Q_aux reduction=%.12g%%; delta dry_time=%.12g; delta MR=%.12g"", reduction_Q_aux_pct, delta_dry_time, delta_MR), ... | ""hybrid must reduce auxiliary energy while preserving comparable drying endpoint.""); |  | checks{end+1,1} = local_check_row_v95j( ..."
locate_collector_efficiency_balance_v96z.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\locate_collector_efficiency_balance_v96z.m,1,efficiency,"function loc = locate_collector_efficiency_balance_v96z()","function loc = locate_collector_efficiency_balance_v96z()","% LOCATE_COLLECTOR_EFFICIENCY_BALANCE_v96z | % | % 9.6z-eta-locate-a | % LOCATE-FIXED-COLLECTOR-EFFICIENCY-AND-SOLAR-BALANCE-001"
locate_collector_efficiency_balance_v96z.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\locate_collector_efficiency_balance_v96z.m,2,efficiency,"% LOCATE_COLLECTOR_EFFICIENCY_BALANCE_v96z","function loc = locate_collector_efficiency_balance_v96z()","% | % 9.6z-eta-locate-a | % LOCATE-FIXED-COLLECTOR-EFFICIENCY-AND-SOLAR-BALANCE-001 | %"
locate_collector_efficiency_balance_v96z.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\locate_collector_efficiency_balance_v96z.m,5,efficiency,"% LOCATE-FIXED-COLLECTOR-EFFICIENCY-AND-SOLAR-BALANCE-001","function loc = locate_collector_efficiency_balance_v96z() | % LOCATE_COLLECTOR_EFFICIENCY_BALANCE_v96z | % | % 9.6z-eta-locate-a","% | % No ejecuta GA. | % No ejecuta modelo. | % No modifica fuentes."
locate_collector_efficiency_balance_v96z.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\locate_collector_efficiency_balance_v96z.m,12,eta_col,"%   1) eficiencia fija del colector, eta_col ~ 0.5","% No ejecuta modelo. | % No modifica fuentes. | % | % Busca:","%   2) cálculo de energía solar Q_AH, Q_solar, Q_col | %   3) variables de temperatura de entrada/salida de colector | %   4) irradiancia | %   5) flujo másico/volumétrico"
locate_collector_efficiency_balance_v96z.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\locate_collector_efficiency_balance_v96z.m,12,0.5,"%   1) eficiencia fija del colector, eta_col ~ 0.5","% No ejecuta modelo. | % No modifica fuentes. | % | % Busca:","%   2) cálculo de energía solar Q_AH, Q_solar, Q_col | %   3) variables de temperatura de entrada/salida de colector | %   4) irradiancia | %   5) flujo másico/volumétrico"
locate_collector_efficiency_balance_v96z.m,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\locate_collector_efficiency_balance_v96z.m,12,eficiencia,"%   1) eficiencia fija del colector, eta_col ~ 0.5","% No ejecuta modelo. | % No modifica fuentes. | % | % Busca:","%   2) cálculo de energía solar Q_AH, Q_solar, Q_col | %   3) variables de temperatura de entrada/salida de colector | %   4) irradiancia | %   5) flujo másico/volumétrico"
