file,folder,path,bytes,modified,nVariables,variable_names,has_formal,has_X,has_F,has_Tsolutions,has_Tsummary,has_Tbounds,has_Tgaopts,has_population_scores,load_status,error_message,article_value
SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.mat,6133,30-jun.-2026 18:10:14,19,"F, Tchecks, Tplan, Tsummary, X, checksCsv, decision, diagnosis, formal, gaAuditPath, next_step, outMat, planCsv, repDir, reportMd, rootDir, runDir, seedawarePath, summaryCsv",1,1,1,0,1,0,0,0,OK,,Formal R1-only candidate output.
GAOPTS_AUDIT_v96z_before_formal_run_f4.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability\GAOPTS_AUDIT_v96z_before_formal_run_f4.mat,9445,30-jun.-2026 18:01:52,28,"Tbounds, Tchecks, Tgaopts, Tseed, articleRoot, boundsCsv, checksCsv, decision, delta_formal, designPath, diagnosis, gaoptsCsv, lb_formal, lb_global, matlabInfo, next_step, optsRaw, originalPath, outMat, productionDir, reportMd, rootDir, seedawarePath, seedsCsv, smokeClonePath, ub_formal, ub_global, x_selected",0,0,0,0,0,1,1,0,OK,,GA configuration / reproducibility.
INSPECT_BOUNDS_SOURCE_v96z_f3.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability\INSPECT_BOUNDS_SOURCE_v96z_f3.mat,5256,30-jun.-2026 17:39:16,6,"T, files, outCsv, outMat, patterns, reportMd",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
GAOPTS_AUDIT_v96z_before_formal_run_f2.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability\GAOPTS_AUDIT_v96z_before_formal_run_f2.mat,8392,30-jun.-2026 16:52:31,23,"Tbounds, Tchecks, Tgaopts, Tseed, articleRoot, boundsCsv, checksCsv, decision, diagnosis, gaoptsCsv, lbRaw, matlabInfo, next_step, optsRaw, originalPath, outMat, productionDir, reportMd, rootDir, seedawarePath, seedsCsv, smokeClonePath, ubRaw",0,0,0,0,0,1,1,0,OK,,GA configuration / reproducibility.
GAOPTS_AUDIT_v96z_before_formal_run.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability\GAOPTS_AUDIT_v96z_before_formal_run.mat,20418,30-jun.-2026 15:58:06,26,"Tbounds, Tchecks, Tfiles, Tgaopts, Tseed, articleRoot, boundsCsv, checksCsv, decision, diagnosis, filesCsv, formalOriginalPath, formalPreview, gaoptsCsv, matlabInfo, next_step, outMat, previewError, previewStatus, productionDir, reportMd, rootDir, seedawarePath, seedsCsv, smokeClonePath, smokeRunnerPath",0,0,0,0,0,1,1,0,OK,,GA configuration / reproducibility.
TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_formal_ga_v96m\TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix_20260630_145327\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_formal_ga_v96m\TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix_20260630_145327\mat\TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix.mat,12357,30-jun.-2026 15:58:06,44,"F, Tchecks, Tpreflight, Treference, Trun, Tsolutions, Tsource, X, confirm_execute, designDir, diagnosis, exitflag, formalDir, formalFlags, lb, maxGen, modeFormal, nvars, objective_v628b, objective_v95j, objective_v96j_fix1, outChecksCsv, outMat, outMd, outPreflightCsv, outRawMat, outReferenceCsv, outRunCsv, outSolutionsCsv, outSourceCsv, outTxt, output, popSize, population, referenceMode, run_error, run_status, runtime_s, scores, ub, wrapper_v10, wrapper_v17, wrapper_v18, x_selected",0,1,1,1,0,0,0,1,OK,,Optimization/front data candidate.
TRACE_v628b_solar_selected_solution_tmax.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\productive_v614b\PRODUCTIVE_GA_CORRECTED_v614_20260626_175217\trace_v628b,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\productive_v614b\PRODUCTIVE_GA_CORRECTED_v614_20260626_175217\trace_v628b\TRACE_v628b_solar_selected_solution_tmax.mat,972251,30-jun.-2026 15:58:05,178,"A_cap, A_sec, ETHA_capt, E_capt, FV_DH_in, HR_DH_in, HR_DH_out, HR_M7, HR_amb, HR_amb_real, HR_busc, HR_sink, I, I_amb_real, I_busc, I_raw_current, Irradiacion, LT_AH, MR, MR_fin, M_des, M_prod, M_prod_fin, Mf, Mi, P_amb, Q_aux, Q_aux_tot, Q_perd_ducto, TRACE_V628B_DIR, TRACE_V628B_MODE, TRACE_V628B_TAG, T_AH1, T_AH2, T_AH3, T_AH4, T_AH5, T_AH6, T_AH7, T_AH8, T_D1, T_D2, T_DH_in, T_DH_out, T_HE1_in, T_HE1_out, T_M1, T_M2, T_M3, T_M4, T_M5, T_M6, T_M7, T_M8, T_M9, T_amb, T_amb_real, T_busc, T_gab, T_ini, T_min, T_prod, T_sink, Tw_vap, Twb, W0, bHR, bI, bT, break_i_v628b, calor_aux, cond_amb, data, dry_time, etha_capt, f_per, guard_diag_v628b, h_AH1, h_AH2, h_AH3, h_AH4, h_AH5, h_AH6, h_AH7, h_AH8, h_D1, h_D2, h_DH_in, h_DH_out, h_HE1_in, h_HE1_out, h_M1, h_M2, h_M3, h_M4, h_M5, h_M6, h_M7, h_M8, h_M9, h_ent, hw_vap, i, irr_diag, j, k, long1, mHR, mI, mT, m_AH1, m_AH2, m_AH3, m_AH4, m_AH5, m_AH6, m_AH7, m_AH8, m_D1, m_D2, m_DH_in, m_DH_out, m_HE1, m_HE1_in, m_HE1_out, m_M1, m_M2, m_M3, m_M4, m_M5, m_M6, m_M7, m_M8, m_M9, m_agua, m_f, m_i, m_max, m_sink, mat, md, mode_operation, mw_DH_in, mw_DH_out, mw_vap, mwf, mwi, nonphysical_v628b, r, r_div1, r_div2, safeMode_v628b, safeTag_v628b, serie, t, t_ant, t_busc, t_ini, t_max, t_post, t_real, t_rec_fin, t_rec_ini, t_step, termination_status_v628b, tiempo, trace_file_v628b, v_DH_in, w_D1, w_D2, w_DH_in, w_DH_out, w_HE1_in, w_M7, w_M8, w_M9, w_amb, w_sink",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
TRACE_v628b_solar_selected_solution_nonphysical.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\productive_v614b\PRODUCTIVE_GA_CORRECTED_v614_20260626_175217\trace_v628b,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\productive_v614b\PRODUCTIVE_GA_CORRECTED_v614_20260626_175217\trace_v628b\TRACE_v628b_solar_selected_solution_nonphysical.mat,964587,30-jun.-2026 15:56:53,179,"A_cap, A_sec, ETHA_capt, E_capt, FV_DH_in, HR_DH_in, HR_DH_out, HR_M7, HR_amb, HR_amb_real, HR_busc, HR_sink, I, I_amb_real, I_busc, I_raw_current, Irradiacion, LT_AH, MR, MR_fin, M_des, M_prod, M_prod_fin, Mf, Mi, P_amb, Q_aux, Q_aux_tot, Q_perd_ducto, TRACE_V628B_DIR, TRACE_V628B_MODE, TRACE_V628B_TAG, T_AH1, T_AH2, T_AH3, T_AH4, T_AH5, T_AH6, T_AH7, T_AH8, T_D1, T_D2, T_DH_in, T_DH_out, T_HE1_in, T_HE1_out, T_M1, T_M2, T_M3, T_M4, T_M5, T_M6, T_M7, T_M8, T_M9, T_amb, T_amb_real, T_busc, T_gab, T_ini, T_min, T_prod, T_sink, Tw_vap, Twb, W0, bHR, bI, bT, break_i_v628b, calor_aux, cond_amb, data, dry_time, etha_capt, f_per, guard_diag_saved_v628b, guard_diag_v628b, h_AH1, h_AH2, h_AH3, h_AH4, h_AH5, h_AH6, h_AH7, h_AH8, h_D1, h_D2, h_DH_in, h_DH_out, h_HE1_in, h_HE1_out, h_M1, h_M2, h_M3, h_M4, h_M5, h_M6, h_M7, h_M8, h_M9, h_ent, hw_vap, i, irr_diag, j, k, long1, mHR, mI, mT, m_AH1, m_AH2, m_AH3, m_AH4, m_AH5, m_AH6, m_AH7, m_AH8, m_D1, m_D2, m_DH_in, m_DH_out, m_HE1, m_HE1_in, m_HE1_out, m_M1, m_M2, m_M3, m_M4, m_M5, m_M6, m_M7, m_M8, m_M9, m_agua, m_f, m_i, m_max, m_sink, mat, md, mode_operation, mw_DH_in, mw_DH_out, mw_vap, mwf, mwi, nonphysical_v628b, r, r_div1, r_div2, safeMode_v628b, safeTag_v628b, serie, t, t_ant, t_busc, t_ini, t_max, t_post, t_real, t_rec_fin, t_rec_ini, t_step, termination_status_v628b, tiempo, trace_file_v628b, v_DH_in, w_D1, w_D2, w_DH_in, w_DH_out, w_HE1_in, w_M7, w_M8, w_M9, w_amb, w_sink",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix_raw.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_formal_ga_v96m\TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix_20260630_145327\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_formal_ga_v96m\TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix_20260630_145327\mat\TRIOBJECTIVE_FORMAL_GA_v96m_seedaware_v96z_rngfix_raw.mat,5732,30-jun.-2026 15:56:53,15,"F, X, exitflag, lb, maxGen, modeFormal, opts, output, popSize, population, run_error, run_status, runtime_s, scores, ub",0,1,1,0,0,0,0,1,OK,,Optimization/front data candidate.
SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\traceability\SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.mat,30333,30-jun.-2026 15:44:10,18,"Pairwise, Tchecks, Tsmoke, allF, allFormal, allX, checksCsv, decision, diagnosis, formalClonePath, next_step, outMat, pairCsv, reportMd, rootDir, runDir, smokeClonePath, smokeCsv",0,0,0,0,0,0,0,0,OK,,Seed-control smoke validation; not final optimization result.
