path,class,size_str,is_numeric,is_table,is_struct,is_cell,candidate_F,candidate_X
formal,struct,[1 1],0,0,1,0,0,0
formal.status,char,[1 37],0,0,0,0,0,0
formal.diagnosis,string,[1 1],0,0,0,0,0,0
formal.formalFlags,struct,[1 1],0,0,1,0,0,0
formal.formalFlags.confirm_execute,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.design_v96l_pass,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.objective_v96j_fix1_used,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.preflight_pass,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.source_preservation_pass,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.population_size,double,[1 1],1,0,0,0,0,0
formal.formalFlags.max_generations,double,[1 1],1,0,0,0,0,0
formal.formalFlags.modeFormal,string,[1 1],0,0,0,0,0,0
formal.formalFlags.referenceMode,string,[1 1],0,0,0,0,0,0
formal.formalFlags.run_status,string,[1 1],0,0,0,0,0,0
formal.formalFlags.nSolutions,double,[1 1],1,0,0,0,0,0
formal.formalFlags.nFiniteRows,double,[1 1],1,0,0,0,0,0
formal.formalFlags.nPenaltyRows,double,[1 1],1,0,0,0,0,0
formal.formalFlags.F_has_3_columns,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.emission_factors_provisional,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.formal_run_executed,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.formal_run_still_on_hold,logical,[1 1],0,0,0,0,0,0
formal.formalFlags.postrun_consolidation_pending,logical,[1 1],0,0,0,0,0,0
formal.Tpreflight,table,[3 19],0,1,0,0,0,0
formal.Trun,table,[1 16],0,1,0,0,0,0
formal.Tsolutions,table,[9 10],0,1,0,0,0,0
formal.Treference,table,[1 19],0,1,0,0,0,0
formal.Tchecks,table,[8 5],0,1,0,0,0,0
formal.Tsource,table,[10 5],0,1,0,0,0,0
formal.formalDir,char,[1 185],0,0,0,0,0,0
formal.outMd,char,[1 221],0,0,0,0,0,0
formal.outTxt,char,[1 222],0,0,0,0,0,0
formal.outMat,char,[1 221],0,0,0,0,0,0
