id,check,pass,evidence
SMK01,Formal seed-aware clone exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m_seedaware_v96z_rngfix.m"
SMK02,Smoke clone created,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\v96z_rngfix_smoke.m"
SMK03,Smoke population reduced,1,"popSize = 8"
SMK04,Smoke generations reduced,1,"maxGen = 5"
SMK05,Seed-aware argument present,1,"rngSeed argument present"
SMK06,External seed branch present,1,"EXTERNAL_SEED_APPLIED"
SMK07,gamultiobj preserved,1,"gamultiobj exists in smoke clone"
SMK08,Execution explicitly controlled,1,"confirm_execute=1"
SMK09,Both smoke runs OK,1,"statuses=OK,OK"
SMK10,Both smoke runs used external seed,1,"rng=EXTERNAL_SEED_APPLIED,EXTERNAL_SEED_APPLIED"
SMK11,Smoke fronts compared,1,"S1_vs_S2"
SMK12,Smoke fronts differ,1,"F_identical=0; X_identical=0"
SMK13,Original v96m not modified,1,"Only smoke clone created."
SMK14,Formal seed-aware clone not modified,1,"Smoke clone is separate."
